cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,27843551.0,28816834.0,24895851.0,22255257.0,26530875.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,7251923.0,7717956.0,6026672.0,5564728.0,6811433.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14625367.0,14214267.0,12128712.0,11496687.0,13763095.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10580059.0,10674027.0,7912674.0,7261225.0,11878081.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,29335.0,37204.0,22541.0,26964.0,56829.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,173713.0,146609.0,146596.0,135459.0,215574.0
Beer,Import Beer,Asia And South Pacific Beer,324718.0,347327.0,267478.0,329693.0,348674.0
Beer,Import Beer,Europe Beer,3125793.0,3243757.0,2934423.0,3023623.0,3165547.0
Beer,Import Beer,Mexico And Caribbean Beer,438323.0,426183.0,316286.0,330420.0,454698.0
Beer,Import Beer,Other Country Beer,108243.0,110677.0,80947.0,92368.0,99836.0
Beer,Import Beer,USA Beer,10393.0,7234.0,2770.0,2995.0,1490.0
