cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843551.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7251923.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14625367.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580059.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125793.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0
Beer,Import Beer,USA Beer,FY2026Q1,10393.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28816834.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7717956.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14214267.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10674027.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347327.0
Beer,Import Beer,Europe Beer,FY2026Q2,3243757.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,426183.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0
Beer,Import Beer,USA Beer,FY2026Q2,7234.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24895851.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,6026672.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12128712.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7912674.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,146596.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,267478.0
Beer,Import Beer,Europe Beer,FY2026Q3,2934423.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,316286.0
Beer,Import Beer,Other Country Beer,FY2026Q3,80947.0
Beer,Import Beer,USA Beer,FY2026Q3,2770.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,22255257.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,5564728.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,11496687.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,7261225.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,26964.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q4,135459.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q4,329693.0
Beer,Import Beer,Europe Beer,FY2026Q4,3023623.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q4,330420.0
Beer,Import Beer,Other Country Beer,FY2026Q4,92368.0
Beer,Import Beer,USA Beer,FY2026Q4,2995.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2027Q1,26530875.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2027Q1,6811433.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2027Q1,13763095.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2027Q1,11878081.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2027Q1,56829.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2027Q1,215574.0
Beer,Import Beer,Asia And South Pacific Beer,FY2027Q1,348674.0
Beer,Import Beer,Europe Beer,FY2027Q1,3165547.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2027Q1,454698.0
Beer,Import Beer,Other Country Beer,FY2027Q1,99836.0
Beer,Import Beer,USA Beer,FY2027Q1,1490.0
