cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,110210172.0,111443885.0,99034550.0,88068758.0,101943304.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,37155861.0,39516581.0,31583179.0,28358165.0,35004782.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,56437658.0,55445740.0,47768224.0,44174391.0,52736336.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,49161038.0,49691902.0,37697251.0,33954238.0,54400439.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,188195.0,230373.0,152955.0,172680.0,337917.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,659018.0,523179.0,517503.0,466936.0,699677.0
Beer,Import Beer,Asia And South Pacific Beer,1922912.0,2061190.0,1634464.0,1980018.0,2061630.0
Beer,Import Beer,Europe Beer,17176339.0,17801460.0,16550877.0,16922542.0,17356427.0
Beer,Import Beer,Mexico And Caribbean Beer,2762857.0,2709328.0,2029570.0,2103578.0,2880852.0
Beer,Import Beer,Other Country Beer,680222.0,695669.0,506409.0,573496.0,614012.0
Beer,Import Beer,USA Beer,74865.0,48560.0,19127.0,17624.0,7761.0
