cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,110210172.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,37155861.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,56437658.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,49161038.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,659018.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,1922912.0
Beer,Import Beer,Europe Beer,FY2026Q1,17176339.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,2762857.0
Beer,Import Beer,Other Country Beer,FY2026Q1,680222.0
Beer,Import Beer,USA Beer,FY2026Q1,74865.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,111443885.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,39516581.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,55445740.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,49691902.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,523179.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,2061190.0
Beer,Import Beer,Europe Beer,FY2026Q2,17801460.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,2709328.0
Beer,Import Beer,Other Country Beer,FY2026Q2,695669.0
Beer,Import Beer,USA Beer,FY2026Q2,48560.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,99034550.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,31583179.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,47768224.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,37697251.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,152955.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,517503.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,1634464.0
Beer,Import Beer,Europe Beer,FY2026Q3,16550877.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,2029570.0
Beer,Import Beer,Other Country Beer,FY2026Q3,506409.0
Beer,Import Beer,USA Beer,FY2026Q3,19127.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,88068758.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,28358165.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,44174391.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,33954238.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,172680.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q4,466936.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q4,1980018.0
Beer,Import Beer,Europe Beer,FY2026Q4,16922542.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q4,2103578.0
Beer,Import Beer,Other Country Beer,FY2026Q4,573496.0
Beer,Import Beer,USA Beer,FY2026Q4,17624.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2027Q1,101943304.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2027Q1,35004782.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2027Q1,52736336.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2027Q1,54400439.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2027Q1,337917.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2027Q1,699677.0
Beer,Import Beer,Asia And South Pacific Beer,FY2027Q1,2061630.0
Beer,Import Beer,Europe Beer,FY2027Q1,17356427.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2027Q1,2880852.0
Beer,Import Beer,Other Country Beer,FY2027Q1,614012.0
Beer,Import Beer,USA Beer,FY2027Q1,7761.0
