cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2452289.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,678001.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20411188.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,132800.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2753215.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24898.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22314010.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,131949.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q3,2151617.0
Refreshment Beverages,Cider,Import Cider,FY2026Q3,475663.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q3,13360.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,12744539.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,91105.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q4,1687545.0
Refreshment Beverages,Cider,Import Cider,FY2026Q4,471971.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q4,16627.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q4,13650051.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q4,81142.0
Refreshment Beverages,Cider,Domestic Cider,FY2027Q1,2290503.0
Refreshment Beverages,Cider,Import Cider,FY2027Q1,634642.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2027Q1,37388.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2027Q1,20161528.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2027Q1,102783.0
