cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Spirits,Asian Spirits,China Spirits,12208.0,11846.0,13200.0,15715.0,11131.0
Spirits,Asian Spirits,Korea Spirits,60463.0,64867.0,54944.0,55577.0,56272.0
Spirits,Asian Spirits,Other Country Asian Spirits,2602.0,2903.0,3050.0,3294.0,3040.0
Spirits,Gin,Dry Gin,403281.0,427014.0,397611.0,288086.0,379499.0
Spirits,Gin,Flavoured Gin,34836.0,32168.0,28402.0,19748.0,23583.0
Spirits,Gin,Other Gin,16010.0,15675.0,19059.0,11777.0,16437.0
Spirits,Grape and Fruit Brandy,Armagnac,347.0,271.0,998.0,654.0,244.0
Spirits,Grape and Fruit Brandy,Brandy,63787.0,55188.0,94473.0,60552.0,58862.0
Spirits,Grape and Fruit Brandy,Cognac,15996.0,15603.0,23983.0,18187.0,15109.0
Spirits,Grape and Fruit Brandy,Eau de Vie,6156.0,5242.0,7602.0,5595.0,5360.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,911.0,826.0,1282.0,945.0,720.0
Spirits,Grape and Fruit Brandy,Pisco,2968.0,3160.0,2639.0,3375.0,3397.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,315130.0,294544.0,313357.0,259670.0,299130.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,67391.0,79084.0,107636.0,76334.0,64411.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,212970.0,276232.0,640033.0,221570.0,191527.0
Spirits,Liqueurs,Fruit Liqueurs,201991.0,209918.0,191637.0,169815.0,209761.0
Spirits,Liqueurs,Nut Liqueurs,55825.0,63152.0,71662.0,47585.0,64017.0
Spirits,Liqueurs,Other Liqueurs,34229.0,38774.0,35948.0,24498.0,31792.0
Spirits,Liqueurs,Whiskey Liqueurs,39738.0,42263.0,52156.0,49986.0,39163.0
Spirits,Other Spirits,Cachaca,1518.0,1563.0,963.0,1653.0,1927.0
Spirits,Other Spirits,Flavoured Spirits,1619.0,3355.0,3179.0,1156.0,1166.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,5099.0,4493.0,8067.0,3777.0,3978.0
Spirits,Other Spirits,Moonshine Spirits,3671.0,8678.0,7468.0,3808.0,4002.0
Spirits,Other Spirits,Ready to Mix Cocktails,28623.0,30303.0,25096.0,24360.0,29194.0
Spirits,Other Spirits,Ready to Serve Cocktails,52695.0,65746.0,37244.0,34801.0,46347.0
Spirits,Other Spirits,Schnapps and Akvavit,1019.0,1000.0,1299.0,1023.0,885.0
Spirits,Rum,Amber Rum,150238.0,167436.0,238176.0,168344.0,152667.0
Spirits,Rum,Dark Rum,87495.0,89850.0,126758.0,93648.0,76220.0
Spirits,Rum,Flavoured Rum,8561.0,10011.0,9666.0,5962.0,4901.0
Spirits,Rum,Spiced Rum,177232.0,187597.0,284672.0,170881.0,179268.0
Spirits,Rum,White Rum,244280.0,258561.0,285334.0,183445.0,243028.0
Spirits,Tequila,Blanco/Silver Tequila,217895.0,247407.0,174194.0,173419.0,239627.0
Spirits,Tequila,Flavoured Tequila,25823.0,24354.0,17587.0,15213.0,20220.0
Spirits,Tequila,Gold Tequila,215840.0,214559.0,179680.0,148348.0,210153.0
Spirits,Tequila,Mezcal,16656.0,16828.0,12826.0,13887.0,16410.0
Spirits,Vodka,Flavoured Vodka,119512.0,119647.0,119472.0,97267.0,114870.0
Spirits,Vodka,Straight Vodka,2027752.0,2097726.0,2070016.0,1853266.0,1959872.0
Spirits,Whisky,American Whiskey,11810.0,31917.0,35877.0,10923.0,2507.0
Spirits,Whisky,Blended Malt Scotch Whisky,4345.0,3654.0,5290.0,4923.0,4870.0
Spirits,Whisky,Blended Scotch Whisky,197744.0,186852.0,226810.0,203274.0,194487.0
Spirits,Whisky,Bourbon Whiskey,13293.0,50531.0,51123.0,22538.0,9520.0
Spirits,Whisky,Canadian Whisky,1121538.0,1045301.0,1255570.0,1013744.0,1044554.0
Spirits,Whisky,Flavoured Whisky,12720.0,19616.0,13904.0,9978.0,7345.0
Spirits,Whisky,Irish Whiskey,130209.0,137088.0,175224.0,158619.0,129279.0
Spirits,Whisky,Other Country Whisky,16761.0,14553.0,23065.0,23164.0,19044.0
Spirits,Whisky,Single Malt Scotch Whisky,99358.0,88188.0,148659.0,110516.0,90606.0
