cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Spirits,Asian Spirits,China Spirits,784261.0,653141.0,775096.0,880468.0,530392.0
Spirits,Asian Spirits,Korea Spirits,1142377.0,1210496.0,1037735.0,1061689.0,1047929.0
Spirits,Asian Spirits,Other Country Asian Spirits,111724.0,132061.0,144675.0,148780.0,135874.0
Spirits,Gin,Dry Gin,13008408.0,13853407.0,13337774.0,9454457.0,12162935.0
Spirits,Gin,Flavoured Gin,1282378.0,1196641.0,1083210.0,765372.0,921787.0
Spirits,Gin,Other Gin,815542.0,770759.0,931590.0,594979.0,824315.0
Spirits,Grape and Fruit Brandy,Armagnac,36832.0,28701.0,117021.0,76006.0,21099.0
Spirits,Grape and Fruit Brandy,Brandy,1895696.0,1689896.0,2804936.0,1842464.0,1816099.0
Spirits,Grape and Fruit Brandy,Cognac,1708396.0,1632822.0,2474501.0,2074289.0,1460855.0
Spirits,Grape and Fruit Brandy,Eau de Vie,332568.0,287544.0,415001.0,293219.0,303831.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,51570.0,47384.0,74851.0,57442.0,41200.0
Spirits,Grape and Fruit Brandy,Pisco,131034.0,137626.0,113961.0,156855.0,158721.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,9626771.0,9245551.0,9703192.0,8254546.0,9247048.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1867029.0,2268556.0,3005825.0,2190336.0,1896265.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,5916616.0,7770609.0,18071172.0,6109690.0,5326389.0
Spirits,Liqueurs,Fruit Liqueurs,6340770.0,6789694.0,6535359.0,5477470.0,6587905.0
Spirits,Liqueurs,Nut Liqueurs,1496543.0,1697065.0,2133834.0,1459326.0,1787382.0
Spirits,Liqueurs,Other Liqueurs,1167344.0,1401571.0,1258410.0,876504.0,1190637.0
Spirits,Liqueurs,Whiskey Liqueurs,1146481.0,1267211.0,1689152.0,1499785.0,1161658.0
Spirits,Other Spirits,Cachaca,50903.0,54329.0,33515.0,55344.0,63860.0
Spirits,Other Spirits,Flavoured Spirits,84093.0,155719.0,154327.0,56307.0,64285.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,229434.0,222206.0,357014.0,206876.0,203944.0
Spirits,Other Spirits,Moonshine Spirits,171715.0,405561.0,311408.0,136790.0,142249.0
Spirits,Other Spirits,Ready to Mix Cocktails,573108.0,601181.0,519518.0,492491.0,584001.0
Spirits,Other Spirits,Ready to Serve Cocktails,1348267.0,1675069.0,1317807.0,1109654.0,1459129.0
Spirits,Other Spirits,Schnapps and Akvavit,45148.0,43848.0,62593.0,48617.0,37853.0
Spirits,Rum,Amber Rum,4898619.0,5609819.0,7821087.0,5613213.0,4849085.0
Spirits,Rum,Dark Rum,2554185.0,2645466.0,3743548.0,2802248.0,2219363.0
Spirits,Rum,Flavoured Rum,315424.0,374553.0,394596.0,252995.0,197619.0
Spirits,Rum,Spiced Rum,5292421.0,5583671.0,8373362.0,5159031.0,5403911.0
Spirits,Rum,White Rum,6162394.0,6508124.0,7111530.0,4659761.0,6105216.0
Spirits,Tequila,Blanco/Silver Tequila,10602184.0,11926629.0,8860974.0,8430473.0,11448123.0
Spirits,Tequila,Flavoured Tequila,1257483.0,1212758.0,920685.0,775369.0,1014617.0
Spirits,Tequila,Gold Tequila,11080863.0,11315329.0,9747977.0,8132745.0,10746356.0
Spirits,Tequila,Mezcal,1114986.0,1135345.0,884795.0,949161.0,1075145.0
Spirits,Vodka,Flavoured Vodka,3732642.0,3756626.0,3827179.0,3105147.0,3637507.0
Spirits,Vodka,Straight Vodka,53800530.0,55872321.0,55916549.0,48698837.0,52026333.0
Spirits,Whisky,American Whiskey,293896.0,1246162.0,1502262.0,627304.0,170728.0
Spirits,Whisky,Blended Malt Scotch Whisky,253154.0,240879.0,341884.0,342635.0,290079.0
Spirits,Whisky,Blended Scotch Whisky,6980436.0,6696625.0,8719704.0,7209710.0,6776584.0
Spirits,Whisky,Bourbon Whiskey,419971.0,2361323.0,2516557.0,1392892.0,652927.0
Spirits,Whisky,Canadian Whisky,31325609.0,29306225.0,35798920.0,29026551.0,29202975.0
Spirits,Whisky,Flavoured Whisky,399390.0,629610.0,480722.0,332931.0,221225.0
Spirits,Whisky,Irish Whiskey,5314696.0,5417389.0,7077908.0,6778137.0,5155426.0
Spirits,Whisky,Other Country Whisky,1377310.0,1199685.0,1960028.0,2521810.0,1513877.0
Spirits,Whisky,Single Malt Scotch Whisky,8920136.0,8134385.0,13519330.0,11175931.0,7712912.0
