cat_type,category,subcategory,period,netsales
Spirits,Asian Spirits,China Spirits,FY2026Q1,784261.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,1142377.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,111724.0
Spirits,Gin,Dry Gin,FY2026Q1,13008408.0
Spirits,Gin,Flavoured Gin,FY2026Q1,1282378.0
Spirits,Gin,Other Gin,FY2026Q1,815542.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,36832.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,1895696.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,1708396.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,332568.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,51570.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,131034.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,9626771.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,1867029.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q1,5916616.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q1,6340770.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q1,1496543.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q1,1167344.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q1,1146481.0
Spirits,Other Spirits,Cachaca,FY2026Q1,50903.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q1,84093.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q1,229434.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,653141.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,1210496.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,132061.0
Spirits,Gin,Dry Gin,FY2026Q2,13853407.0
Spirits,Gin,Flavoured Gin,FY2026Q2,1196641.0
Spirits,Gin,Other Gin,FY2026Q2,770759.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,28701.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,1689896.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,1632822.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,287544.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,47384.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,137626.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,9245551.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q2,2268556.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q2,7770609.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q2,6789694.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q2,1697065.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q2,1401571.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q2,1267211.0
Spirits,Other Spirits,Cachaca,FY2026Q2,54329.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q2,155719.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q2,222206.0
Spirits,Asian Spirits,China Spirits,FY2026Q3,775096.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q3,1037735.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q3,144675.0
Spirits,Gin,Dry Gin,FY2026Q3,13337774.0
Spirits,Gin,Flavoured Gin,FY2026Q3,1083210.0
Spirits,Gin,Other Gin,FY2026Q3,931590.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q3,117021.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q3,2804936.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q3,2474501.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q3,415001.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q3,74851.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q3,113961.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q3,9703192.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q3,3005825.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q3,18071172.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q3,6535359.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q3,2133834.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q3,1258410.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q3,1689152.0
Spirits,Other Spirits,Cachaca,FY2026Q3,33515.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q3,154327.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q3,357014.0
Spirits,Asian Spirits,China Spirits,FY2026Q4,880468.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q4,1061689.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q4,148780.0
Spirits,Gin,Dry Gin,FY2026Q4,9454457.0
Spirits,Gin,Flavoured Gin,FY2026Q4,765372.0
Spirits,Gin,Other Gin,FY2026Q4,594979.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q4,76006.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q4,1842464.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q4,2074289.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q4,293219.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q4,57442.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q4,156855.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q4,8254546.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q4,2190336.0
