cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Wine,Argentina Wine,Argentina Red Wine,462123.0,398251.0,555210.0,455996.0,411234.0
Wine,Argentina Wine,Argentina Rose Wine,7822.0,6614.0,3028.0,2690.0,7231.0
Wine,Argentina Wine,Argentina Sparkling Wine,522.0,760.0,482.0,715.0,554.0
Wine,Argentina Wine,Argentina White Wine,53850.0,66285.0,81223.0,83023.0,109328.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,21.0,10.0,4.0,6.0,6.0
Wine,Australia Wine,Australia Red Wine,476629.0,410972.0,539002.0,497374.0,443043.0
Wine,Australia Wine,Australia Rose Wine,23674.0,23804.0,23786.0,20894.0,23354.0
Wine,Australia Wine,Australia Sparkling Wine,53501.0,44147.0,62918.0,40735.0,48572.0
Wine,Australia Wine,Australia White Wine,397359.0,395170.0,359873.0,323410.0,384152.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,34.0,56.0,54.0,70.0,94.0
Wine,Austria Wine,Austria Red Wine,878.0,1034.0,1088.0,1317.0,1202.0
Wine,Austria Wine,Austria Rose Wine,346.0,274.0,180.0,243.0,598.0
Wine,Austria Wine,Austria Sparkling Wine,86.0,224.0,108.0,148.0,90.0
Wine,Austria Wine,Austria White Wine,4022.0,3972.0,3292.0,4162.0,4751.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,3759.0,5437.0,3216.0,1789.0,2514.0
Wine,Canada - BC,Canada - BC Fruit Wine,48424.0,76845.0,74330.0,34371.0,47210.0
Wine,Canada - BC,Canada - BC Ice Wine,6944.0,7682.0,7483.0,4225.0,3735.0
Wine,Canada - BC,Canada - BC Red Wine,3484390.0,3625983.0,4859262.0,3169503.0,3126581.0
Wine,Canada - BC,Canada - BC Rose Wine,634039.0,709387.0,477651.0,397993.0,683875.0
Wine,Canada - BC,Canada - BC Sparkling Wine,182495.0,251124.0,253471.0,131504.0,171008.0
Wine,Canada - BC,Canada - BC White Wine,4337680.0,4427693.0,4669249.0,3452419.0,4106927.0
Wine,Canada - Other,Canada - Other Dessert Wine,34.0,84.0,99.0,18.0,59.0
Wine,Canada - Other,Canada - Other Fruit Wine,38.0,19.0,0.0,0.0,0.0
Wine,Canada - Other,Canada - Other Ice Wine,5801.0,15352.0,9776.0,11144.0,11024.0
Wine,Canada - Other,Canada - Other Red Wine,28870.0,37210.0,41014.0,30724.0,27257.0
Wine,Canada - Other,Canada - Other Rose Wine,10668.0,8048.0,4857.0,5389.0,5166.0
Wine,Canada - Other,Canada - Other Sparkling Wine,65560.0,66778.0,82617.0,55528.0,62876.0
Wine,Canada - Other,Canada - Other White Wine,54724.0,61698.0,52564.0,48293.0,44525.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,14.0,13.0,32.0,9.0,4.0
Wine,Chile Wine,Chile Red Wine,610363.0,627173.0,696104.0,714658.0,621949.0
Wine,Chile Wine,Chile Rose Wine,56358.0,73165.0,18955.0,30052.0,57291.0
Wine,Chile Wine,Chile Sparkling Wine,2175.0,1450.0,2396.0,1958.0,1322.0
Wine,Chile Wine,Chile White Wine,356461.0,366906.0,338508.0,402254.0,426101.0
Wine,China Wine,China Fruit and Dessert Wine,114.0,44.0,293.0,221.0,159.0
Wine,China Wine,China Red Wine,4.0,14.0,14.0,72.0,99.0
Wine,China Wine,China White Wine,225.0,0.0,18.0,9.0,58.0
Wine,Fortified Wine,Other Fortified Domestic Wine,41512.0,48316.0,46917.0,33636.0,27541.0
Wine,Fortified Wine,Other Fortified Import Wine,13742.0,11921.0,17484.0,16544.0,11306.0
Wine,Fortified Wine,Port Wine,14468.0,14350.0,29500.0,16641.0,14033.0
Wine,Fortified Wine,Sherry Wine,10146.0,9374.0,14957.0,13602.0,13091.0
Wine,Fortified Wine,Vermouth Wine,55291.0,55298.0,61514.0,51593.0,56790.0
Wine,France Wine,France Champagne Wine,39119.0,46515.0,73054.0,39709.0,45394.0
Wine,France Wine,France Fruit and Dessert Wine,190.0,237.0,216.0,218.0,294.0
Wine,France Wine,France Red Wine,321136.0,312951.0,387302.0,344432.0,303677.0
Wine,France Wine,France Rose Wine,229633.0,284794.0,107641.0,117536.0,262590.0
Wine,France Wine,France Sparkling Wine,48043.0,49901.0,52039.0,40057.0,46420.0
Wine,France Wine,France White Wine,207349.0,220115.0,214383.0,198083.0,213798.0
Wine,Georgia Wine,Georgia Red Wine,3584.0,2821.0,3334.0,4480.0,2286.0
Wine,Georgia Wine,Georgia Rose Wine,14.0,9.0,4.0,36.0,36.0
Wine,Georgia Wine,Georgia Sparkling Wine,27.0,21.0,14.0,9.0,0.0
Wine,Georgia Wine,Georgia White Wine,655.0,548.0,539.0,580.0,526.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,1285.0,1354.0,1040.0,1952.0,1287.0
