cat_type,category,subcategory,period,litres
Wine,Argentina Wine,Argentina Red Wine,FY2026Q1,462123.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q1,7822.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q1,522.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q1,53850.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q1,21.0
Wine,Australia Wine,Australia Red Wine,FY2026Q1,476629.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q1,23674.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q1,53501.0
Wine,Australia Wine,Australia White Wine,FY2026Q1,397359.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q1,34.0
Wine,Austria Wine,Austria Red Wine,FY2026Q1,878.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q1,346.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q1,86.0
Wine,Austria Wine,Austria White Wine,FY2026Q1,4022.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q1,3759.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q1,48424.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q1,6944.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q1,3484390.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,634039.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q1,182495.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,398251.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,6614.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,760.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,66285.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q2,10.0
Wine,Australia Wine,Australia Red Wine,FY2026Q2,410972.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q2,23804.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q2,44147.0
Wine,Australia Wine,Australia White Wine,FY2026Q2,395170.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q2,56.0
Wine,Austria Wine,Austria Red Wine,FY2026Q2,1034.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q2,274.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q2,224.0
Wine,Austria Wine,Austria White Wine,FY2026Q2,3972.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q2,5437.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q2,76845.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q2,7682.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q2,3625983.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q2,709387.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q2,251124.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q3,555210.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q3,3028.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q3,482.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q3,81223.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q3,4.0
Wine,Australia Wine,Australia Red Wine,FY2026Q3,539002.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q3,23786.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q3,62918.0
Wine,Australia Wine,Australia White Wine,FY2026Q3,359873.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q3,54.0
Wine,Austria Wine,Austria Red Wine,FY2026Q3,1088.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q3,180.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q3,108.0
Wine,Austria Wine,Austria White Wine,FY2026Q3,3292.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q3,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q3,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q3,3216.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q3,74330.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q3,7483.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q3,4859262.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q3,477651.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q3,253471.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q4,455996.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q4,2690.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q4,715.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q4,83023.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q4,6.0
Wine,Australia Wine,Australia Red Wine,FY2026Q4,497374.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q4,20894.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q4,40735.0
Wine,Australia Wine,Australia White Wine,FY2026Q4,323410.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q4,70.0
Wine,Austria Wine,Austria Red Wine,FY2026Q4,1317.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q4,243.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q4,148.0
Wine,Austria Wine,Austria White Wine,FY2026Q4,4162.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q4,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q4,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q4,1789.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q4,34371.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q4,4225.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q4,3169503.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q4,397993.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q4,131504.0
Wine,Argentina Wine,Argentina Red Wine,FY2027Q1,411234.0
Wine,Argentina Wine,Argentina Rose Wine,FY2027Q1,7231.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2027Q1,554.0
Wine,Argentina Wine,Argentina White Wine,FY2027Q1,109328.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2027Q1,6.0
Wine,Australia Wine,Australia Red Wine,FY2027Q1,443043.0
Wine,Australia Wine,Australia Rose Wine,FY2027Q1,23354.0
Wine,Australia Wine,Australia Sparkling Wine,FY2027Q1,48572.0
Wine,Australia Wine,Australia White Wine,FY2027Q1,384152.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2027Q1,94.0
Wine,Austria Wine,Austria Red Wine,FY2027Q1,1202.0
Wine,Austria Wine,Austria Rose Wine,FY2027Q1,598.0
Wine,Austria Wine,Austria Sparkling Wine,FY2027Q1,90.0
Wine,Austria Wine,Austria White Wine,FY2027Q1,4751.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2027Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2027Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2027Q1,2514.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2027Q1,47210.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2027Q1,3735.0
Wine,Canada - BC,Canada - BC Red Wine,FY2027Q1,3126581.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2027Q1,683875.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2027Q1,171008.0
Wine,Canada - BC,Canada - BC White Wine,FY2026Q1,4337680.0
Wine,Canada - Other,Canada - Other Dessert Wine,FY2026Q1,34.0
Wine,Canada - Other,Canada - Other Fruit Wine,FY2026Q1,38.0
Wine,Canada - Other,Canada - Other Ice Wine,FY2026Q1,5801.0
Wine,Canada - Other,Canada - Other Red Wine,FY2026Q1,28870.0
Wine,Canada - Other,Canada - Other Rose Wine,FY2026Q1,10668.0
Wine,Canada - Other,Canada - Other Sparkling Wine,FY2026Q1,65560.0
Wine,Canada - Other,Canada - Other White Wine,FY2026Q1,54724.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,FY2026Q1,14.0
Wine,Chile Wine,Chile Red Wine,FY2026Q1,610363.0
Wine,Chile Wine,Chile Rose Wine,FY2026Q1,56358.0
Wine,Chile Wine,Chile Sparkling Wine,FY2026Q1,2175.0
Wine,Chile Wine,Chile White Wine,FY2026Q1,356461.0
Wine,China Wine,China Fruit and Dessert Wine,FY2026Q1,114.0
Wine,China Wine,China Red Wine,FY2026Q1,4.0
Wine,China Wine,China White Wine,FY2026Q1,225.0
Wine,Fortified Wine,Other Fortified Domestic Wine,FY2026Q1,41512.0
Wine,Fortified Wine,Other Fortified Import Wine,FY2026Q1,13742.0
Wine,Fortified Wine,Port Wine,FY2026Q1,14468.0
Wine,Fortified Wine,Sherry Wine,FY2026Q1,10146.0
Wine,Fortified Wine,Vermouth Wine,FY2026Q1,55291.0
Wine,France Wine,France Champagne Wine,FY2026Q1,39119.0
Wine,France Wine,France Fruit and Dessert Wine,FY2026Q1,190.0
Wine,Canada - BC,Canada - BC White Wine,FY2026Q2,4427693.0
Wine,Canada - Other,Canada - Other Dessert Wine,FY2026Q2,84.0
Wine,Canada - Other,Canada - Other Fruit Wine,FY2026Q2,19.0
Wine,Canada - Other,Canada - Other Ice Wine,FY2026Q2,15352.0
Wine,Canada - Other,Canada - Other Red Wine,FY2026Q2,37210.0
Wine,Canada - Other,Canada - Other Rose Wine,FY2026Q2,8048.0
Wine,Canada - Other,Canada - Other Sparkling Wine,FY2026Q2,66778.0
Wine,Canada - Other,Canada - Other White Wine,FY2026Q2,61698.0
