cat_type,category,subcategory,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4,FY2027Q1
Wine,Argentina Wine,Argentina Red Wine,7129654.0,6252204.0,8670306.0,7020932.0,6447685.0
Wine,Argentina Wine,Argentina Rose Wine,111321.0,98803.0,47368.0,39490.0,103026.0
Wine,Argentina Wine,Argentina Sparkling Wine,10450.0,14013.0,9768.0,14508.0,10196.0
Wine,Argentina Wine,Argentina White Wine,746465.0,980794.0,1176097.0,1200250.0,1553701.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,1010.0,390.0,313.0,192.0,192.0
Wine,Australia Wine,Australia Red Wine,6961885.0,6024120.0,8119283.0,7518088.0,6383244.0
Wine,Australia Wine,Australia Rose Wine,311084.0,295024.0,286938.0,283084.0,292446.0
Wine,Australia Wine,Australia Sparkling Wine,805384.0,683528.0,923722.0,615717.0,708013.0
Wine,Australia Wine,Australia White Wine,4734229.0,4691970.0,4320228.0,4082232.0,4675863.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,2438.0,2887.0,2994.0,4554.0,5474.0
Wine,Austria Wine,Austria Red Wine,30714.0,33910.0,36523.0,49005.0,43130.0
Wine,Austria Wine,Austria Rose Wine,12263.0,10115.0,6461.0,7257.0,19302.0
Wine,Austria Wine,Austria Sparkling Wine,2920.0,7701.0,3407.0,5327.0,2939.0
Wine,Austria Wine,Austria White Wine,132301.0,129457.0,102762.0,134511.0,151897.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,205861.0,320342.0,200557.0,110465.0,109254.0
Wine,Canada - BC,Canada - BC Fruit Wine,960778.0,1572890.0,1505417.0,715164.0,963697.0
Wine,Canada - BC,Canada - BC Ice Wine,873009.0,1042106.0,766423.0,440050.0,378517.0
Wine,Canada - BC,Canada - BC Red Wine,55461024.0,65312669.0,81249792.0,50290272.0,50241924.0
Wine,Canada - BC,Canada - BC Rose Wine,11209312.0,12822178.0,7528675.0,6255656.0,11737788.0
Wine,Canada - BC,Canada - BC Sparkling Wine,6912605.0,8394264.0,9420289.0,4113061.0,4937621.0
Wine,Canada - BC,Canada - BC White Wine,56051381.0,61429816.0,59752862.0,44071608.0,53048878.0
Wine,Canada - Other,Canada - Other Dessert Wine,4036.0,9262.0,11580.0,2164.0,7007.0
Wine,Canada - Other,Canada - Other Fruit Wine,256.0,126.0,0.0,0.0,0.0
Wine,Canada - Other,Canada - Other Ice Wine,508044.0,1442645.0,901729.0,1058456.0,1014389.0
Wine,Canada - Other,Canada - Other Red Wine,306456.0,461493.0,460017.0,365380.0,265348.0
Wine,Canada - Other,Canada - Other Rose Wine,104643.0,83475.0,48531.0,53283.0,52017.0
Wine,Canada - Other,Canada - Other Sparkling Wine,683107.0,712458.0,874378.0,599644.0,696465.0
Wine,Canada - Other,Canada - Other White Wine,524468.0,619642.0,512068.0,489163.0,454711.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,481.0,491.0,1180.0,341.0,173.0
Wine,Chile Wine,Chile Red Wine,6811691.0,7019516.0,8149461.0,7798204.0,6919173.0
Wine,Chile Wine,Chile Rose Wine,586642.0,791694.0,207713.0,322415.0,621753.0
Wine,Chile Wine,Chile Sparkling Wine,44068.0,28234.0,49461.0,40486.0,26972.0
Wine,Chile Wine,Chile White Wine,3784795.0,3840767.0,3457933.0,3909531.0,4180066.0
Wine,China Wine,China Fruit and Dessert Wine,3945.0,1704.0,11209.0,9504.0,6183.0
Wine,China Wine,China Red Wine,125.0,376.0,376.0,24391.0,3432.0
Wine,China Wine,China White Wine,13317.0,0.0,501.0,304.0,1738.0
Wine,Fortified Wine,Other Fortified Domestic Wine,631920.0,881747.0,793487.0,534222.0,443443.0
Wine,Fortified Wine,Other Fortified Import Wine,352124.0,298935.0,440458.0,409567.0,293240.0
Wine,Fortified Wine,Port Wine,479140.0,497523.0,1026132.0,583622.0,481467.0
Wine,Fortified Wine,Sherry Wine,230111.0,209093.0,340454.0,314317.0,281460.0
Wine,Fortified Wine,Vermouth Wine,887966.0,883546.0,1054026.0,888720.0,961924.0
Wine,France Wine,France Champagne Wine,3854924.0,4662635.0,7441699.0,3935837.0,4717692.0
Wine,France Wine,France Fruit and Dessert Wine,14904.0,18218.0,25057.0,16811.0,21709.0
Wine,France Wine,France Red Wine,7375557.0,10841950.0,9220436.0,8662682.0,9035686.0
Wine,France Wine,France Rose Wine,4161833.0,5031569.0,1934306.0,2170793.0,4758750.0
Wine,France Wine,France Sparkling Wine,958205.0,967186.0,1102132.0,830102.0,947223.0
Wine,France Wine,France White Wine,5889322.0,6065745.0,5869003.0,6026302.0,6259080.0
Wine,Georgia Wine,Georgia Red Wine,82533.0,64082.0,74049.0,101893.0,52384.0
Wine,Georgia Wine,Georgia Rose Wine,520.0,345.0,173.0,1206.0,1030.0
Wine,Georgia Wine,Georgia Sparkling Wine,1332.0,1018.0,667.0,441.0,0.0
Wine,Georgia Wine,Georgia White Wine,21465.0,16927.0,16440.0,18492.0,16486.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,35941.0,62716.0,30334.0,60721.0,42593.0
Wine,Germany Wine,Germany Rose Wine,2258.0,3118.0,158.0,2363.0,4816.0
Wine,Germany Wine,Germany Sparkling Wine,623129.0,543725.0,894834.0,464448.0,564061.0
Wine,Germany Wine,Germany White Wine,860868.0,859880.0,917809.0,796827.0,791246.0
Wine,Greece Wine,Greece Fruit and Dessert Wine,0.0,0.0,409.0,3744.0,2341.0
Wine,Greece Wine,Greece Red Wine,136640.0,109557.0,107490.0,122225.0,107002.0
Wine,Greece Wine,Greece Rose Wine,15927.0,17198.0,8565.0,9518.0,21348.0
Wine,Greece Wine,Greece Sparkling Wine,9340.0,1387.0,5031.0,2105.0,5276.0
Wine,Greece Wine,Greece White Wine,168928.0,177220.0,94513.0,125875.0,148362.0
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,13525.0,21582.0,27743.0,27036.0,16318.0
Wine,Hungary Wine,Hungary Red Wine,18266.0,16158.0,25938.0,9780.0,6292.0
Wine,Hungary Wine,Hungary Rose Wine,0.0,110.0,0.0,219.0,0.0
Wine,Hungary Wine,Hungary Sparkling Wine,66504.0,91588.0,70856.0,54859.0,66520.0
Wine,Hungary Wine,Hungary White Wine,71377.0,106986.0,91026.0,88350.0,67982.0
Wine,Israel Wine,Israel Red Wine,37197.0,24704.0,30173.0,30121.0,33669.0
Wine,Israel Wine,Israel Rose Wine,5412.0,2435.0,1624.0,5413.0,2062.0
Wine,Israel Wine,Israel White Wine,13367.0,8330.0,5585.0,8872.0,7945.0
Wine,Italy Wine,Italy Fruit and Dessert Wine,12353.0,12636.0,18276.0,9145.0,10544.0
Wine,Italy Wine,Italy Red Wine,12625376.0,12451763.0,17807271.0,14587916.0,12578858.0
Wine,Italy Wine,Italy Rose Wine,441388.0,485891.0,239269.0,293792.0,488380.0
Wine,Italy Wine,Italy Sparkling Wine,2168682.0,2397870.0,2164610.0,1822498.0,2093142.0
Wine,Italy Wine,Italy White Wine,6945197.0,6693733.0,5865054.0,5862888.0,6840312.0
Wine,Italy Wine,Prosecco Wine,7956074.0,7985004.0,9988389.0,5980057.0,7937982.0
Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,New Zealand Wine,New Zealand Red Wine,608864.0,593885.0,766605.0,578947.0,616325.0
Wine,New Zealand Wine,New Zealand Rose Wine,477096.0,433715.0,205822.0,203204.0,479618.0
Wine,New Zealand Wine,New Zealand Sparkling Wine,57643.0,92835.0,142399.0,84547.0,52377.0
