cat_type,category,subcategory,period,netsales
Wine,Argentina Wine,Argentina Red Wine,FY2026Q1,7129654.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q1,111321.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q1,10450.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q1,746465.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q1,1010.0
Wine,Australia Wine,Australia Red Wine,FY2026Q1,6961885.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q1,311084.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q1,805384.0
Wine,Australia Wine,Australia White Wine,FY2026Q1,4734229.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q1,2438.0
Wine,Austria Wine,Austria Red Wine,FY2026Q1,30714.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q1,12263.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q1,2920.0
Wine,Austria Wine,Austria White Wine,FY2026Q1,132301.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q1,205861.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q1,960778.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q1,873009.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q1,55461024.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,11209312.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q1,6912605.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,6252204.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,98803.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,14013.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,980794.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q2,390.0
Wine,Australia Wine,Australia Red Wine,FY2026Q2,6024120.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q2,295024.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q2,683528.0
Wine,Australia Wine,Australia White Wine,FY2026Q2,4691970.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q2,2887.0
Wine,Austria Wine,Austria Red Wine,FY2026Q2,33910.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q2,10115.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q2,7701.0
Wine,Austria Wine,Austria White Wine,FY2026Q2,129457.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q2,0.0
