cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,23428966.0,27843460.0,28816320.0,24896153.0,22259982.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,5739271.0,7239207.0,7718249.0,6025974.0,5522208.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,11376172.0,14631301.0,14215206.0,12129565.0,11492912.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7006172.0,10580115.0,10673891.0,7912878.0,7266459.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,19533.0,29335.0,37204.0,22541.0,26911.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,132986.0,173713.0,146609.0,146596.0,135436.0
Beer,Import Beer,Asia And South Pacific Beer,280156.0,324718.0,347327.0,267478.0,329579.0
Beer,Import Beer,Europe Beer,2984514.0,3125714.0,3243853.0,2934341.0,3028986.0
Beer,Import Beer,Mexico And Caribbean Beer,310821.0,438323.0,426183.0,316286.0,330607.0
Beer,Import Beer,Other Country Beer,97992.0,108243.0,110677.0,80947.0,92421.0
Beer,Import Beer,USA Beer,25497.0,10472.0,7300.0,2855.0,3061.0
