cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23428966.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5739271.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11376172.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7006172.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,19533.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,132986.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280156.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984514.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27843460.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7239207.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14631301.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10580115.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,29335.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,173713.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324718.0
Beer,Import Beer,Europe Beer,FY2026Q1,3125714.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438323.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,28816320.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,7718249.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,14215206.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,10673891.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,37204.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,146609.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,347327.0
Beer,Import Beer,Europe Beer,FY2026Q2,3243853.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,426183.0
Beer,Import Beer,Other Country Beer,FY2026Q2,110677.0
Beer,Import Beer,USA Beer,FY2026Q2,7300.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,24896153.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,6025974.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,12129565.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,7912878.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,22541.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,146596.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,267478.0
Beer,Import Beer,Europe Beer,FY2026Q3,2934341.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,316286.0
Beer,Import Beer,Other Country Beer,FY2026Q3,80947.0
Beer,Import Beer,USA Beer,FY2026Q3,2855.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,22259982.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,5522208.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,11492912.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,7266459.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,26911.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q4,135436.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q4,329579.0
Beer,Import Beer,Europe Beer,FY2026Q4,3028986.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q4,330607.0
Beer,Import Beer,Other Country Beer,FY2026Q4,92421.0
Beer,Import Beer,USA Beer,FY2026Q4,3061.0
