cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,93023743.0,110209721.0,111443772.0,99035775.0,88076171.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,29015061.0,37102518.0,39518719.0,31580852.0,28194415.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,43752922.0,56456523.0,55448767.0,47771164.0,44158220.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,33547557.0,49161272.0,49691424.0,37698220.0,33977419.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,133708.0,188195.0,230373.0,152955.0,172259.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,506290.0,659018.0,523179.0,517503.0,466693.0
Beer,Import Beer,Asia And South Pacific Beer,1660918.0,1922912.0,2061190.0,1634464.0,1979331.0
Beer,Import Beer,Europe Beer,16589986.0,17175540.0,17801772.0,16550048.0,16946492.0
Beer,Import Beer,Mexico And Caribbean Beer,1968593.0,2762857.0,2709327.0,2029570.0,2104677.0
Beer,Import Beer,Other Country Beer,617009.0,680222.0,695669.0,506409.0,575147.0
Beer,Import Beer,USA Beer,179983.0,75664.0,49217.0,19980.0,18281.0
