cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,93023743.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,29015061.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,43752922.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,33547557.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,133708.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,506290.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,1660918.0
Beer,Import Beer,Europe Beer,FY2025Q4,16589986.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,1968593.0
Beer,Import Beer,Other Country Beer,FY2025Q4,617009.0
Beer,Import Beer,USA Beer,FY2025Q4,179983.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,110209721.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,37102518.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,56456523.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,49161272.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,188195.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,659018.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,1922912.0
Beer,Import Beer,Europe Beer,FY2026Q1,17175540.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,2762857.0
Beer,Import Beer,Other Country Beer,FY2026Q1,680222.0
Beer,Import Beer,USA Beer,FY2026Q1,75664.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q2,111443772.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q2,39518719.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q2,55448767.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q2,49691424.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q2,230373.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q2,523179.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q2,2061190.0
Beer,Import Beer,Europe Beer,FY2026Q2,17801772.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q2,2709327.0
Beer,Import Beer,Other Country Beer,FY2026Q2,695669.0
Beer,Import Beer,USA Beer,FY2026Q2,49217.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q3,99035775.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q3,31580852.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q3,47771164.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q3,37698220.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q3,152955.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q3,517503.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q3,1634464.0
Beer,Import Beer,Europe Beer,FY2026Q3,16550048.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q3,2029570.0
Beer,Import Beer,Other Country Beer,FY2026Q3,506409.0
Beer,Import Beer,USA Beer,FY2026Q3,19980.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q4,88076171.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q4,28194415.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q4,44158220.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q4,33977419.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q4,172259.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q4,466693.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q4,1979331.0
Beer,Import Beer,Europe Beer,FY2026Q4,16946492.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q4,2104677.0
Beer,Import Beer,Other Country Beer,FY2026Q4,575147.0
Beer,Import Beer,USA Beer,FY2026Q4,18281.0
