cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,FY2025Q4,1661776.0
Refreshment Beverages,Cider,Import Cider,FY2025Q4,494531.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2025Q4,40724.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2025Q4,13291059.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2025Q4,113296.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q1,2452289.0
Refreshment Beverages,Cider,Import Cider,FY2026Q1,678001.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q1,32901.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q1,20411188.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q1,132800.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q2,2753215.0
Refreshment Beverages,Cider,Import Cider,FY2026Q2,687664.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q2,24898.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q2,22314010.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q2,131949.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q3,2150420.0
Refreshment Beverages,Cider,Import Cider,FY2026Q3,475563.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q3,13360.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q3,12744539.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q3,91105.0
Refreshment Beverages,Cider,Domestic Cider,FY2026Q4,1668534.0
Refreshment Beverages,Cider,Import Cider,FY2026Q4,471521.0
Refreshment Beverages,Coolers,Malt-Based Coolers,FY2026Q4,16627.0
Refreshment Beverages,Coolers,Spirit Coolers,FY2026Q4,13649992.0
Refreshment Beverages,Coolers,Wine/Fruit Coolers,FY2026Q4,81142.0
