cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Spirits,Asian Spirits,China Spirits,15843.0,12208.0,11846.0,13200.0,15715.0
Spirits,Asian Spirits,Korea Spirits,58567.0,60463.0,64867.0,54944.0,55577.0
Spirits,Asian Spirits,Other Country Asian Spirits,3828.0,2602.0,2903.0,3050.0,3294.0
Spirits,Gin,Dry Gin,309753.0,403281.0,427014.0,397611.0,287726.0
Spirits,Gin,Flavoured Gin,20965.0,34833.0,32168.0,28402.0,19604.0
Spirits,Gin,Other Gin,10893.0,15997.0,15675.0,19059.0,11642.0
Spirits,Grape and Fruit Brandy,Armagnac,340.0,347.0,271.0,998.0,654.0
Spirits,Grape and Fruit Brandy,Brandy,68208.0,63768.0,55188.0,94473.0,60545.0
Spirits,Grape and Fruit Brandy,Cognac,21103.0,15996.0,15603.0,23983.0,18187.0
Spirits,Grape and Fruit Brandy,Eau de Vie,5082.0,6156.0,5242.0,7602.0,5595.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,1077.0,911.0,826.0,1282.0,945.0
Spirits,Grape and Fruit Brandy,Pisco,3297.0,2968.0,3160.0,2639.0,3375.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,259293.0,315130.0,294544.0,313357.0,259635.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,73100.0,67391.0,79084.0,107636.0,76334.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,217412.0,212970.0,276232.0,640033.0,221499.0
Spirits,Liqueurs,Fruit Liqueurs,176443.0,201982.0,209918.0,191645.0,169765.0
Spirits,Liqueurs,Nut Liqueurs,42329.0,55825.0,63152.0,71662.0,47584.0
Spirits,Liqueurs,Other Liqueurs,27671.0,34229.0,38774.0,35948.0,24501.0
Spirits,Liqueurs,Whiskey Liqueurs,50390.0,39738.0,42263.0,52156.0,49986.0
Spirits,Other Spirits,Cachaca,1267.0,1518.0,1563.0,963.0,1653.0
Spirits,Other Spirits,Flavoured Spirits,1887.0,1610.0,3355.0,3202.0,1072.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,4582.0,4026.0,3562.0,6924.0,2728.0
Spirits,Other Spirits,Moonshine Spirits,8974.0,3662.0,8678.0,7468.0,3791.0
Spirits,Other Spirits,Ready to Mix Cocktails,23656.0,28623.0,30303.0,25096.0,24360.0
Spirits,Other Spirits,Ready to Serve Cocktails,41550.0,53766.0,66678.0,38387.0,35861.0
Spirits,Other Spirits,Schnapps and Akvavit,917.0,1008.0,1000.0,1299.0,973.0
Spirits,Rum,Amber Rum,151381.0,150238.0,167436.0,238176.0,168344.0
Spirits,Rum,Dark Rum,83830.0,87495.0,89850.0,126758.0,93648.0
Spirits,Rum,Flavoured Rum,11215.0,8561.0,10011.0,9666.0,5962.0
Spirits,Rum,Spiced Rum,200015.0,177232.0,187597.0,284672.0,170881.0
Spirits,Rum,White Rum,217469.0,244280.0,258561.0,285334.0,183445.0
Spirits,Tequila,Blanco/Silver Tequila,161285.0,217958.0,247434.0,174230.0,173491.0
Spirits,Tequila,Flavoured Tequila,11924.0,25823.0,24354.0,17587.0,15213.0
Spirits,Tequila,Gold Tequila,149831.0,215840.0,214559.0,179680.0,148348.0
Spirits,Tequila,Mezcal,13742.0,16656.0,16828.0,12826.0,13887.0
Spirits,Vodka,Flavoured Vodka,116415.0,119507.0,119647.0,119475.0,97181.0
Spirits,Vodka,Straight Vodka,1851875.0,2027689.0,2097699.0,2070001.0,1852842.0
Spirits,Whisky,American Whiskey,62685.0,11810.0,31917.0,35877.0,10923.0
Spirits,Whisky,Blended Malt Scotch Whisky,4397.0,4345.0,3654.0,5290.0,4923.0
Spirits,Whisky,Blended Scotch Whisky,197612.0,197744.0,186852.0,226810.0,203274.0
Spirits,Whisky,Bourbon Whiskey,112076.0,13293.0,50531.0,51123.0,22538.0
Spirits,Whisky,Canadian Whisky,956487.0,1121534.0,1045301.0,1255570.0,1013672.0
Spirits,Whisky,Flavoured Whisky,14972.0,12720.0,19616.0,13904.0,9978.0
Spirits,Whisky,Irish Whiskey,138128.0,130209.0,137088.0,175224.0,158619.0
Spirits,Whisky,Other Country Whisky,15488.0,16761.0,14553.0,23065.0,23164.0
Spirits,Whisky,Single Malt Scotch Whisky,90933.0,99358.0,88188.0,148659.0,110516.0
