cat_type,category,subcategory,period,litres
Spirits,Asian Spirits,China Spirits,FY2025Q4,15843.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q4,58567.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q4,3828.0
Spirits,Gin,Dry Gin,FY2025Q4,309753.0
Spirits,Gin,Flavoured Gin,FY2025Q4,20965.0
Spirits,Gin,Other Gin,FY2025Q4,10893.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q4,340.0
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q4,68208.0
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q4,21103.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q4,5082.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q4,1077.0
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q4,3297.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q4,259293.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q4,73100.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q4,217412.0
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q4,176443.0
Spirits,Liqueurs,Nut Liqueurs,FY2025Q4,42329.0
Spirits,Liqueurs,Other Liqueurs,FY2025Q4,27671.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q4,50390.0
Spirits,Other Spirits,Cachaca,FY2025Q4,1267.0
Spirits,Other Spirits,Flavoured Spirits,FY2025Q4,1887.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q4,4582.0
Spirits,Asian Spirits,China Spirits,FY2026Q1,12208.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,60463.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,2602.0
Spirits,Gin,Dry Gin,FY2026Q1,403281.0
Spirits,Gin,Flavoured Gin,FY2026Q1,34833.0
Spirits,Gin,Other Gin,FY2026Q1,15997.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,347.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,63768.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,15996.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,6156.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,911.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,2968.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,315130.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,67391.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q1,212970.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q1,201982.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q1,55825.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q1,34229.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q1,39738.0
Spirits,Other Spirits,Cachaca,FY2026Q1,1518.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q1,1610.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q1,4026.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,11846.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,64867.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,2903.0
Spirits,Gin,Dry Gin,FY2026Q2,427014.0
Spirits,Gin,Flavoured Gin,FY2026Q2,32168.0
Spirits,Gin,Other Gin,FY2026Q2,15675.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,271.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,55188.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,15603.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,5242.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,826.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,3160.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,294544.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q2,79084.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q2,276232.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q2,209918.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q2,63152.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q2,38774.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q2,42263.0
Spirits,Other Spirits,Cachaca,FY2026Q2,1563.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q2,3355.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q2,3562.0
Spirits,Asian Spirits,China Spirits,FY2026Q3,13200.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q3,54944.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q3,3050.0
Spirits,Gin,Dry Gin,FY2026Q3,397611.0
Spirits,Gin,Flavoured Gin,FY2026Q3,28402.0
Spirits,Gin,Other Gin,FY2026Q3,19059.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q3,998.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q3,94473.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q3,23983.0
