cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Spirits,Asian Spirits,China Spirits,1455746.0,784261.0,653141.0,775096.0,880468.0
Spirits,Asian Spirits,Korea Spirits,1107973.0,1142377.0,1210496.0,1037735.0,1061689.0
Spirits,Asian Spirits,Other Country Asian Spirits,162967.0,111724.0,132061.0,144675.0,148780.0
Spirits,Gin,Dry Gin,10179664.0,13008408.0,13853407.0,13337774.0,9434592.0
Spirits,Gin,Flavoured Gin,780242.0,1282203.0,1196641.0,1083210.0,756158.0
Spirits,Gin,Other Gin,564052.0,814940.0,770759.0,931590.0,585054.0
Spirits,Grape and Fruit Brandy,Armagnac,48284.0,36832.0,28701.0,117021.0,76006.0
Spirits,Grape and Fruit Brandy,Brandy,2062821.0,1894827.0,1689896.0,2804936.0,1841965.0
Spirits,Grape and Fruit Brandy,Cognac,2518374.0,1708396.0,1632822.0,2474501.0,2074289.0
Spirits,Grape and Fruit Brandy,Eau de Vie,279418.0,332568.0,287544.0,415001.0,293219.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,63854.0,51570.0,47384.0,74851.0,57442.0
Spirits,Grape and Fruit Brandy,Pisco,145198.0,131034.0,137626.0,113961.0,156855.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,8131436.0,9626771.0,9245551.0,9703192.0,8251606.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1980513.0,1867029.0,2268556.0,3005825.0,2190336.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,5964526.0,5916616.0,7770609.0,18071172.0,6107288.0
Spirits,Liqueurs,Fruit Liqueurs,5718316.0,6340137.0,6789694.0,6535600.0,5473964.0
Spirits,Liqueurs,Nut Liqueurs,1256284.0,1496543.0,1697065.0,2133834.0,1459281.0
Spirits,Liqueurs,Other Liqueurs,927469.0,1167344.0,1401571.0,1258410.0,876245.0
Spirits,Liqueurs,Whiskey Liqueurs,1515319.0,1146481.0,1267211.0,1689152.0,1499785.0
Spirits,Other Spirits,Cachaca,42205.0,50903.0,54329.0,33515.0,55344.0
Spirits,Other Spirits,Flavoured Spirits,84871.0,83673.0,155719.0,155241.0,51748.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,233685.0,185720.0,183529.0,309247.0,163514.0
Spirits,Other Spirits,Moonshine Spirits,413007.0,171260.0,405561.0,311408.0,135576.0
Spirits,Other Spirits,Ready to Mix Cocktails,473349.0,573108.0,601181.0,519518.0,492491.0
Spirits,Other Spirits,Ready to Serve Cocktails,1129564.0,1391916.0,1713746.0,1365573.0,1153496.0
Spirits,Other Spirits,Schnapps and Akvavit,45896.0,44707.0,43848.0,62593.0,45898.0
Spirits,Rum,Amber Rum,4879050.0,4898619.0,5609819.0,7821087.0,5613213.0
Spirits,Rum,Dark Rum,2458945.0,2554185.0,2645466.0,3743548.0,2802248.0
Spirits,Rum,Flavoured Rum,373076.0,315424.0,374553.0,394596.0,252995.0
Spirits,Rum,Spiced Rum,6080225.0,5292421.0,5583671.0,8373362.0,5159031.0
Spirits,Rum,White Rum,5507126.0,6162394.0,6508124.0,7111530.0,4659761.0
Spirits,Tequila,Blanco/Silver Tequila,7966846.0,10603796.0,11927316.0,8861693.0,8432428.0
Spirits,Tequila,Flavoured Tequila,622431.0,1257483.0,1212758.0,920685.0,775369.0
Spirits,Tequila,Gold Tequila,8075055.0,11080863.0,11315329.0,9747977.0,8132745.0
Spirits,Tequila,Mezcal,943342.0,1114986.0,1135345.0,884795.0,949161.0
Spirits,Vodka,Flavoured Vodka,3689708.0,3732410.0,3756626.0,3827331.0,3102437.0
Spirits,Vodka,Straight Vodka,48944624.0,53798918.0,55871634.0,55916651.0,48685555.0
Spirits,Whisky,American Whiskey,2548345.0,293896.0,1246162.0,1502262.0,627304.0
Spirits,Whisky,Blended Malt Scotch Whisky,256288.0,253154.0,240879.0,341884.0,342635.0
Spirits,Whisky,Blended Scotch Whisky,7139807.0,6980436.0,6696625.0,8719704.0,7209710.0
Spirits,Whisky,Bourbon Whiskey,5179484.0,419971.0,2361323.0,2516557.0,1392892.0
Spirits,Whisky,Canadian Whisky,26574853.0,31325302.0,29306225.0,35798920.0,29019229.0
Spirits,Whisky,Flavoured Whisky,479616.0,399390.0,629610.0,480722.0,332931.0
Spirits,Whisky,Irish Whiskey,5477868.0,5314696.0,5417389.0,7077908.0,6778137.0
Spirits,Whisky,Other Country Whisky,1313179.0,1377310.0,1199685.0,1960028.0,2521810.0
Spirits,Whisky,Single Malt Scotch Whisky,8581950.0,8920136.0,8134385.0,13519330.0,11175931.0
