cat_type,category,subcategory,period,netsales
Spirits,Asian Spirits,China Spirits,FY2025Q4,1455746.0
Spirits,Asian Spirits,Korea Spirits,FY2025Q4,1107973.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2025Q4,162967.0
Spirits,Gin,Dry Gin,FY2025Q4,10179664.0
Spirits,Gin,Flavoured Gin,FY2025Q4,780242.0
Spirits,Gin,Other Gin,FY2025Q4,564052.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2025Q4,48284.0
Spirits,Grape and Fruit Brandy,Brandy,FY2025Q4,2062821.0
Spirits,Grape and Fruit Brandy,Cognac,FY2025Q4,2518374.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2025Q4,279418.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2025Q4,63854.0
Spirits,Grape and Fruit Brandy,Pisco,FY2025Q4,145198.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2025Q4,8131436.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q4,1980513.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2025Q4,5964526.0
Spirits,Liqueurs,Fruit Liqueurs,FY2025Q4,5718316.0
Spirits,Liqueurs,Nut Liqueurs,FY2025Q4,1256284.0
Spirits,Liqueurs,Other Liqueurs,FY2025Q4,927469.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2025Q4,1515319.0
Spirits,Other Spirits,Cachaca,FY2025Q4,42205.0
Spirits,Other Spirits,Flavoured Spirits,FY2025Q4,84871.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2025Q4,233685.0
Spirits,Asian Spirits,China Spirits,FY2026Q1,784261.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q1,1142377.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q1,111724.0
Spirits,Gin,Dry Gin,FY2026Q1,13008408.0
Spirits,Gin,Flavoured Gin,FY2026Q1,1282203.0
Spirits,Gin,Other Gin,FY2026Q1,814940.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q1,36832.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q1,1894827.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q1,1708396.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q1,332568.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q1,51570.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q1,131034.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q1,9626771.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q1,1867029.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q1,5916616.0
Spirits,Liqueurs,Fruit Liqueurs,FY2026Q1,6340137.0
Spirits,Liqueurs,Nut Liqueurs,FY2026Q1,1496543.0
Spirits,Liqueurs,Other Liqueurs,FY2026Q1,1167344.0
Spirits,Liqueurs,Whiskey Liqueurs,FY2026Q1,1146481.0
Spirits,Other Spirits,Cachaca,FY2026Q1,50903.0
Spirits,Other Spirits,Flavoured Spirits,FY2026Q1,83673.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,FY2026Q1,185720.0
Spirits,Asian Spirits,China Spirits,FY2026Q2,653141.0
Spirits,Asian Spirits,Korea Spirits,FY2026Q2,1210496.0
Spirits,Asian Spirits,Other Country Asian Spirits,FY2026Q2,132061.0
Spirits,Gin,Dry Gin,FY2026Q2,13853407.0
Spirits,Gin,Flavoured Gin,FY2026Q2,1196641.0
Spirits,Gin,Other Gin,FY2026Q2,770759.0
Spirits,Grape and Fruit Brandy,Armagnac,FY2026Q2,28701.0
Spirits,Grape and Fruit Brandy,Brandy,FY2026Q2,1689896.0
Spirits,Grape and Fruit Brandy,Cognac,FY2026Q2,1632822.0
Spirits,Grape and Fruit Brandy,Eau de Vie,FY2026Q2,287544.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,FY2026Q2,47384.0
Spirits,Grape and Fruit Brandy,Pisco,FY2026Q2,137626.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,FY2026Q2,9245551.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,FY2026Q2,2268556.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,FY2026Q2,7770609.0
