cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Wine,Argentina Wine,Argentina Red Wine,439105.0,462123.0,398251.0,555210.0,455996.0
Wine,Argentina Wine,Argentina Rose Wine,2785.0,7822.0,6614.0,3028.0,2690.0
Wine,Argentina Wine,Argentina Sparkling Wine,459.0,522.0,760.0,482.0,715.0
Wine,Argentina Wine,Argentina White Wine,42988.0,53850.0,66285.0,81223.0,83023.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,114.0,21.0,10.0,4.0,6.0
Wine,Australia Wine,Australia Red Wine,496722.0,476629.0,410972.0,539002.0,497374.0
Wine,Australia Wine,Australia Rose Wine,15513.0,23674.0,23804.0,23786.0,20894.0
Wine,Australia Wine,Australia Sparkling Wine,38980.0,53501.0,44147.0,62918.0,40735.0
Wine,Australia Wine,Australia White Wine,285037.0,397359.0,395170.0,359873.0,323410.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,81.0,34.0,56.0,54.0,70.0
Wine,Austria Wine,Austria Red Wine,1084.0,878.0,1034.0,1088.0,1317.0
Wine,Austria Wine,Austria Rose Wine,387.0,346.0,274.0,180.0,243.0
Wine,Austria Wine,Austria Sparkling Wine,9.0,86.0,224.0,108.0,148.0
Wine,Austria Wine,Austria White Wine,3097.0,4022.0,3972.0,3292.0,4162.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,4190.0,3740.0,5437.0,3216.0,1788.0
Wine,Canada - BC,Canada - BC Fruit Wine,35416.0,48316.0,76576.0,74144.0,34087.0
Wine,Canada - BC,Canada - BC Ice Wine,7004.0,6944.0,7682.0,7483.0,4225.0
Wine,Canada - BC,Canada - BC Red Wine,3261802.0,3483900.0,3625024.0,4858251.0,3163230.0
Wine,Canada - BC,Canada - BC Rose Wine,355395.0,633156.0,707700.0,476930.0,396295.0
Wine,Canada - BC,Canada - BC Sparkling Wine,113197.0,182324.0,250641.0,253446.0,130501.0
Wine,Canada - BC,Canada - BC White Wine,3424627.0,4337302.0,4426383.0,4668304.0,3441105.0
Wine,Canada - Other,Canada - Other Dessert Wine,41.0,34.0,84.0,99.0,18.0
Wine,Canada - Other,Canada - Other Fruit Wine,92.0,147.0,288.0,187.0,101.0
Wine,Canada - Other,Canada - Other Ice Wine,10030.0,5801.0,15352.0,9776.0,11144.0
Wine,Canada - Other,Canada - Other Red Wine,26613.0,28870.0,37210.0,41014.0,30724.0
Wine,Canada - Other,Canada - Other Rose Wine,4482.0,10668.0,8048.0,4857.0,5389.0
Wine,Canada - Other,Canada - Other Sparkling Wine,47171.0,65560.0,66778.0,82617.0,55528.0
Wine,Canada - Other,Canada - Other White Wine,41027.0,54724.0,61698.0,52564.0,48293.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,14.0,14.0,13.0,32.0,9.0
Wine,Chile Wine,Chile Red Wine,611208.0,610363.0,627173.0,696104.0,714658.0
Wine,Chile Wine,Chile Rose Wine,26576.0,56358.0,73165.0,18955.0,30052.0
Wine,Chile Wine,Chile Sparkling Wine,2190.0,2175.0,1450.0,2396.0,1958.0
Wine,Chile Wine,Chile White Wine,306921.0,356461.0,366906.0,338508.0,402254.0
Wine,China Wine,China Fruit and Dessert Wine,362.0,114.0,44.0,293.0,221.0
Wine,China Wine,China Red Wine,122.0,4.0,14.0,14.0,72.0
Wine,China Wine,China White Wine,0.0,225.0,0.0,18.0,9.0
Wine,Fortified Wine,Other Fortified Domestic Wine,44973.0,41483.0,48316.0,46917.0,33646.0
Wine,Fortified Wine,Other Fortified Import Wine,14578.0,13742.0,11921.0,17484.0,16544.0
Wine,Fortified Wine,Port Wine,14973.0,14468.0,14350.0,29500.0,16641.0
Wine,Fortified Wine,Sherry Wine,11470.0,10146.0,9374.0,14957.0,13602.0
Wine,Fortified Wine,Vermouth Wine,51524.0,55291.0,55298.0,61514.0,51593.0
Wine,France Wine,France Champagne Wine,29818.0,39119.0,46515.0,73054.0,40344.0
Wine,France Wine,France Fruit and Dessert Wine,298.0,190.0,237.0,216.0,218.0
Wine,France Wine,France Red Wine,299734.0,321136.0,312951.0,387302.0,344428.0
Wine,France Wine,France Rose Wine,106465.0,229633.0,284794.0,107641.0,117536.0
Wine,France Wine,France Sparkling Wine,37473.0,48043.0,49901.0,52039.0,39422.0
Wine,France Wine,France White Wine,173364.0,207349.0,220115.0,214383.0,198088.0
Wine,Georgia Wine,Georgia Red Wine,3765.0,3584.0,2821.0,3334.0,4480.0
Wine,Georgia Wine,Georgia Rose Wine,9.0,14.0,9.0,4.0,36.0
Wine,Georgia Wine,Georgia Sparkling Wine,9.0,27.0,21.0,14.0,9.0
Wine,Georgia Wine,Georgia White Wine,608.0,655.0,548.0,539.0,580.0
Wine,Germany Wine,Germany Fruit and Dessert Wine,0.0,0.0,0.0,0.0,0.0
Wine,Germany Wine,Germany Red Wine,1288.0,1285.0,1354.0,1040.0,1952.0
