cat_type,category,subcategory,FY2025Q4,FY2026Q1,FY2026Q2,FY2026Q3,FY2026Q4
Wine,Argentina Wine,Argentina Red Wine,6674851.0,7129654.0,6252204.0,8670306.0,7020932.0
Wine,Argentina Wine,Argentina Rose Wine,38926.0,111321.0,98803.0,47368.0,39490.0
Wine,Argentina Wine,Argentina Sparkling Wine,8773.0,10450.0,14013.0,9768.0,14508.0
Wine,Argentina Wine,Argentina White Wine,576922.0,746465.0,980794.0,1176097.0,1200250.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,5871.0,1010.0,390.0,313.0,192.0
Wine,Australia Wine,Australia Red Wine,6996647.0,6961885.0,6024120.0,8119283.0,7518088.0
Wine,Australia Wine,Australia Rose Wine,219415.0,311084.0,295024.0,286938.0,283084.0
Wine,Australia Wine,Australia Sparkling Wine,598083.0,805384.0,683528.0,923722.0,615717.0
Wine,Australia Wine,Australia White Wine,3473585.0,4734229.0,4691970.0,4320228.0,4082232.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,4176.0,2438.0,2887.0,2994.0,4554.0
Wine,Austria Wine,Austria Red Wine,34396.0,30714.0,33910.0,36523.0,49005.0
Wine,Austria Wine,Austria Rose Wine,13457.0,12263.0,10115.0,6461.0,7257.0
Wine,Austria Wine,Austria Sparkling Wine,287.0,2920.0,7701.0,3407.0,5327.0
Wine,Austria Wine,Austria White Wine,107802.0,132301.0,129457.0,102762.0,134511.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,197815.0,204845.0,320342.0,200557.0,110448.0
Wine,Canada - BC,Canada - BC Fruit Wine,719025.0,959401.0,1569480.0,1503052.0,709083.0
Wine,Canada - BC,Canada - BC Ice Wine,797612.0,873009.0,1042106.0,766423.0,440050.0
Wine,Canada - BC,Canada - BC Red Wine,49705152.0,55443453.0,65275613.0,81211919.0,50060993.0
