cat_type,category,subcategory,period,netsales
Wine,Argentina Wine,Argentina Red Wine,FY2025Q4,6674851.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q4,38926.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q4,8773.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q4,576922.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q4,5871.0
Wine,Australia Wine,Australia Red Wine,FY2025Q4,6996647.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q4,219415.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q4,598083.0
Wine,Australia Wine,Australia White Wine,FY2025Q4,3473585.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q4,4176.0
Wine,Austria Wine,Austria Red Wine,FY2025Q4,34396.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q4,13457.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q4,287.0
Wine,Austria Wine,Austria White Wine,FY2025Q4,107802.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q4,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q4,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q4,197815.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q4,719025.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q4,797612.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q4,49705152.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q4,5883668.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2025Q4,3903116.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q1,7129654.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q1,111321.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q1,10450.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q1,746465.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2026Q1,1010.0
Wine,Australia Wine,Australia Red Wine,FY2026Q1,6961885.0
Wine,Australia Wine,Australia Rose Wine,FY2026Q1,311084.0
Wine,Australia Wine,Australia Sparkling Wine,FY2026Q1,805384.0
Wine,Australia Wine,Australia White Wine,FY2026Q1,4734229.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2026Q1,2438.0
Wine,Austria Wine,Austria Red Wine,FY2026Q1,30714.0
Wine,Austria Wine,Austria Rose Wine,FY2026Q1,12263.0
Wine,Austria Wine,Austria Sparkling Wine,FY2026Q1,2920.0
Wine,Austria Wine,Austria White Wine,FY2026Q1,132301.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2026Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2026Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2026Q1,204845.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2026Q1,959401.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2026Q1,873009.0
Wine,Canada - BC,Canada - BC Red Wine,FY2026Q1,55443453.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2026Q1,11186135.0
Wine,Canada - BC,Canada - BC Sparkling Wine,FY2026Q1,6908270.0
Wine,Argentina Wine,Argentina Red Wine,FY2026Q2,6252204.0
Wine,Argentina Wine,Argentina Rose Wine,FY2026Q2,98803.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2026Q2,14013.0
Wine,Argentina Wine,Argentina White Wine,FY2026Q2,980794.0
