cat_type,category,subcategory,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2
Spirits,Other Spirits,Moonshine Spirits,"$157,337","$218,836","$109,566","$166,040","$240,730"
Spirits,Other Spirits,Ready to Mix Cocktails,"$720,675","$517,344","$464,141","$664,333","$714,083"
Spirits,Other Spirits,Ready to Serve Cocktails,"$780,833","$800,179","$436,246","$608,645","$671,659"
Spirits,Other Spirits,Schnapps and Akvavit,"$95,172","$126,919","$45,845","$62,539","$77,591"
Spirits,Rum,Amber Rum,"$5,806,009","$7,861,000","$4,522,469","$5,209,633","$5,416,530"
Spirits,Rum,Dark Rum,"$2,799,967","$4,258,234","$2,601,350","$2,811,279","$2,684,784"
Spirits,Rum,Flavoured Rum,"$516,561","$284,601","$209,054","$357,867","$387,325"
Spirits,Rum,Spiced Rum,"$7,919,973","$12,645,574","$5,591,446","$7,112,581","$7,453,191"
Spirits,Rum,White Rum,"$8,210,311","$9,018,543","$5,762,814","$7,966,694","$7,928,690"
Spirits,Tequila,Blanco/Silver Tequila,"$2,542,249","$2,156,938","$1,960,286","$2,906,684","$3,365,841"
Spirits,Tequila,Flavoured Tequila,"$112,801","$86,347","$91,271","$127,249","$147,876"
Spirits,Tequila,Gold Tequila,"$5,692,515","$4,737,878","$4,056,656","$6,020,123","$6,570,037"
Spirits,Tequila,Mezcal,"$110,682","$124,961","$100,520","$147,206","$138,155"
Spirits,Vodka,Flavoured Vodka,"$3,564,812","$3,652,005","$2,633,827","$3,478,709","$3,814,972"
Spirits,Vodka,Straight Vodka,"$52,527,953","$53,915,780","$40,829,748","$51,362,845","$53,963,292"
Spirits,Whisky,American Whiskey,"$2,467,908","$3,132,842","$1,952,596","$2,377,055","$2,470,199"
Spirits,Whisky,Blended Malt Scotch Whisky,"$60,601","$170,405","$134,944","$135,133","$100,356"
Spirits,Whisky,Blended Scotch Whisky,"$7,088,450","$8,713,409","$6,238,753","$7,127,793","$7,051,331"
Spirits,Whisky,Bourbon Whiskey,"$2,824,776","$3,881,396","$2,972,133","$3,075,079","$3,185,335"
Spirits,Whisky,Canadian Whisky,"$28,631,357","$34,347,892","$21,435,821","$26,430,717","$26,036,341"
Spirits,Whisky,Flavoured Whisky,"$37,533","$68,635","$38,126","$28,212","$13,876"
Spirits,Whisky,Irish Whiskey,"$2,454,957","$4,274,332","$3,432,848","$2,575,999","$2,991,885"
Spirits,Whisky,Other Country Whisky,"$534,829","$954,911","$494,037","$596,625","$569,128"
Spirits,Whisky,Single Malt Scotch Whisky,"$7,529,757","$14,965,868","$7,022,122","$8,446,264","$8,430,692"
