cat_type,category,subcategory,Fiscal 2016/17 Q4,Fiscal 2017/18 Q1,Fiscal 2017/18 Q2,Fiscal 2017/18 Q3,Fiscal 2017/18 Q4
Spirits,Other Spirits,Moonshine Spirits,"3,629","5,781","6,942","6,390","6,607"
Spirits,Other Spirits,Ready to Mix Cocktails,"23,415","33,203","35,090","27,591","22,919"
Spirits,Other Spirits,Ready to Serve Cocktails,"15,396","26,658","29,529","28,246","16,750"
Spirits,Other Spirits,Schnapps and Akvavit,"1,198","1,634","2,002","2,220","1,760"
Spirits,Rum,Amber Rum,"169,283","197,280","204,508","296,165","164,286"
Spirits,Rum,Dark Rum,"99,668","108,451","103,024","165,587","92,149"
Spirits,Rum,Flavoured Rum,"8,726","14,894","16,144","9,530","12,501"
Spirits,Rum,Spiced Rum,"197,876","258,916","269,840","446,494","208,228"
Spirits,Rum,White Rum,"241,022","332,632","327,119","383,545","226,608"
Spirits,Tequila,Blanco/Silver Tequila,"50,014","77,809","91,446","66,473","63,125"
Spirits,Tequila,Flavoured Tequila,"2,328","3,505","3,899","2,458","2,224"
Spirits,Tequila,Gold Tequila,"117,258","171,905","192,453","143,378","126,999"
Spirits,Tequila,Mezcal,"1,355","2,227","2,295","2,634","2,454"
Spirits,Vodka,Flavoured Vodka,"97,803","131,252","143,012","138,406","100,193"
Spirits,Vodka,Straight Vodka,"1,643,075","2,054,917","2,152,867","2,234,916","1,741,784"
Spirits,Whisky,American Whiskey,"59,400","74,331","76,973","98,491","63,122"
Spirits,Whisky,Blended Malt Scotch Whisky,"1,472","1,661","1,323","2,425","2,056"
Spirits,Whisky,Blended Scotch Whisky,"217,578","247,828","238,944","305,790","226,738"
Spirits,Whisky,Bourbon Whiskey,"79,021","84,094","86,656","119,843","91,991"
Spirits,Whisky,Canadian Whisky,"873,403","1,070,939","1,052,959","1,364,864","907,099"
Spirits,Whisky,Flavoured Whisky,"1,471","1,106",560,"2,758","7,847"
Spirits,Whisky,Irish Whiskey,"96,508","73,314","85,615","134,401","115,413"
Spirits,Whisky,Other Country Whisky,"6,303","7,756","7,258","11,497","8,233"
Spirits,Whisky,Single Malt Scotch Whisky,"91,409","113,389","109,444","207,554","103,089"
