cat_type,category,subcategory,Fiscal 2017/18 Q4,Fiscal 2018/19 Q1,Fiscal 2018/19 Q2,Fiscal 2018/19 Q3,Fiscal 2018/19 Q4
Wine,Sake,USA Sake,"95,770","73,508","77,550","91,944","89,217"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,0,0,0
Wine,South Africa Wine,South Africa Red Wine,"115,299","96,282","124,912","144,446","127,357"
Wine,South Africa Wine,South Africa Rose Wine,171,"7,417","7,688",580,108
Wine,South Africa Wine,South Africa Sparkling Wine,"1,899","2,062","1,938",815,189
Wine,South Africa Wine,South Africa White Wine,"79,514","93,782","108,625","116,502","104,928"
Wine,Spain Wine,Spain Fruit and Dessert Wine,412,518,128,196,196
Wine,Spain Wine,Spain Red Wine,"428,963","299,202","356,965","459,680","348,213"
Wine,Spain Wine,Spain Rose Wine,"8,998","19,139","25,059","10,409","9,266"
Wine,Spain Wine,Spain Sparkling Wine,"52,003","69,665","70,095","126,244","48,183"
Wine,Spain Wine,Spain White Wine,"105,671","32,908","53,317","54,281","53,508"
Wine,USA Wine,USA Fruit and Dessert Wine,279,81,189,99,45
Wine,USA Wine,USA Red Wine,"1,044,038","1,029,196","1,044,822","1,479,732","1,043,999"
Wine,USA Wine,USA Rose Wine,"127,376","159,008","148,480","129,062","112,556"
Wine,USA Wine,USA Sparkling Wine,"15,883","19,918","22,134","35,163","16,068"
Wine,USA Wine,USA White Wine,"439,016","487,744","532,499","501,830","410,988"
