cat_type,category,subcategory,Fiscal 2018/19 Q4,Fiscal 2019/20 Q1,Fiscal 2019/20 Q2,Fiscal 2019/20 Q3,Fiscal 2019/20 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"31,367,371","40,363,992","38,247,737","33,133,127","30,419,149"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"6,644,311","8,201,862","8,542,574","7,052,479","6,855,297"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"9,935,331","13,174,641","13,268,887","11,270,988","10,497,875"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"3,860,361","7,239,742","6,286,473","4,741,142","4,679,897"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"23,008","31,854","40,712","27,502","24,903"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"359,339","414,734","407,419","338,006","276,754"
Beer,Import Beer,Asia And South Pacific Beer,"304,766","329,272","369,765","315,502","288,558"
Beer,Import Beer,Europe Beer,"5,125,363","6,215,510","6,252,117","5,937,184","5,105,987"
Beer,Import Beer,Mexico And Caribbean Beer,"1,460,046","2,838,028","3,005,273","1,820,389","1,718,026"
Beer,Import Beer,Other Country Beer,"26,678","24,628","30,153","19,513","16,288"
Beer,Import Beer,USA Beer,"1,054,832","1,571,951","1,645,306","1,203,505","516,708"
