cat_type,category,subcategory,period,netsales
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q2,444380
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q3,413737
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2020/21 Q4,270084
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2021/22 Q1,319804
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2021/22 Q2,477187
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q2,514595
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q3,380780
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2020/21 Q4,356258
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2021/22 Q1,455998
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2021/22 Q2,596506
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q2,1573361
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q3,1216599
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2020/21 Q4,1028197
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2021/22 Q1,1920113
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2021/22 Q2,1728355
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q2,66444
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q3,88494
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2020/21 Q4,47926
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2021/22 Q1,53098
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2021/22 Q2,63388
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q2,6234195
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q3,8797398
Spirits,Rum,Amber Rum,Fiscal 2020/21 Q4,5474260
Spirits,Rum,Amber Rum,Fiscal 2021/22 Q1,6108770
Spirits,Rum,Amber Rum,Fiscal 2021/22 Q2,6468245
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q2,2771603
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q3,4261026
Spirits,Rum,Dark Rum,Fiscal 2020/21 Q4,2662785
Spirits,Rum,Dark Rum,Fiscal 2021/22 Q1,2831889
Spirits,Rum,Dark Rum,Fiscal 2021/22 Q2,2769141
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q2,601362
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q3,838093
Spirits,Rum,Flavoured Rum,Fiscal 2020/21 Q4,469643
Spirits,Rum,Flavoured Rum,Fiscal 2021/22 Q1,744698
Spirits,Rum,Flavoured Rum,Fiscal 2021/22 Q2,735813
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q2,7953711
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q3,13632534
Spirits,Rum,Spiced Rum,Fiscal 2020/21 Q4,5789262
Spirits,Rum,Spiced Rum,Fiscal 2021/22 Q1,6923773
Spirits,Rum,Spiced Rum,Fiscal 2021/22 Q2,7507846
Spirits,Rum,White Rum,Fiscal 2020/21 Q2,7585746
Spirits,Rum,White Rum,Fiscal 2020/21 Q3,7503286
Spirits,Rum,White Rum,Fiscal 2020/21 Q4,5634272
Spirits,Rum,White Rum,Fiscal 2021/22 Q1,7272574
Spirits,Rum,White Rum,Fiscal 2021/22 Q2,7597552
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2020/21 Q2,5652830
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2020/21 Q3,4160969
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2020/21 Q4,3967448
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2021/22 Q1,7369876
Spirits,Tequila,Blanco/Silver Tequila,Fiscal 2021/22 Q2,8854003
Spirits,Tequila,Flavoured Tequila,Fiscal 2020/21 Q2,277547
Spirits,Tequila,Flavoured Tequila,Fiscal 2020/21 Q3,205423
Spirits,Tequila,Flavoured Tequila,Fiscal 2020/21 Q4,193056
Spirits,Tequila,Flavoured Tequila,Fiscal 2021/22 Q1,405139
Spirits,Tequila,Flavoured Tequila,Fiscal 2021/22 Q2,481828
Spirits,Tequila,Gold Tequila,Fiscal 2020/21 Q2,9353952
