cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2020/21 Q3,29760416
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2020/21 Q4,28684070
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q1,36876143
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q2,35268650
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q3,30912457
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2020/21 Q3,5983617
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2020/21 Q4,5828322
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q1,7949727
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q2,8513961
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q3,6520482
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2020/21 Q3,11747786
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2020/21 Q4,10263397
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q1,13731773
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q2,13485989
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q3,11860755
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2020/21 Q3,6486509
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2020/21 Q4,6757958
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q1,11036018
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q2,10963089
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q3,7601767
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2020/21 Q3,17816
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2020/21 Q4,21524
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q1,27302
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q2,28797
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q3,21288
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2020/21 Q3,168298
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2020/21 Q4,171860
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q1,301256
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q2,330348
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q3,273252
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2020/21 Q3,227092
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2020/21 Q4,216977
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q1,239888
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q2,254727
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q3,270570
Beer,Import Beer,Europe Beer,Fiscal 2020/21 Q3,4426990
Beer,Import Beer,Europe Beer,Fiscal 2020/21 Q4,3963466
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q1,4831963
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q2,4771045
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q3,4256279
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2020/21 Q3,1174048
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2020/21 Q4,358385
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q1,757252
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q2,713922
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q3,363564
Beer,Import Beer,Other Country Beer,Fiscal 2020/21 Q3,19838
Beer,Import Beer,Other Country Beer,Fiscal 2020/21 Q4,29489
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q1,26884
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q2,26917
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q3,20945
Beer,Import Beer,USA Beer,Fiscal 2020/21 Q3,328483
Beer,Import Beer,USA Beer,Fiscal 2020/21 Q4,333200
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q1,444376
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q2,313270
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q3,292761
