cat_type,category,subcategory,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1,Fiscal 2021/22 Q2,Fiscal 2021/22 Q3,Fiscal 2021/22 Q4
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$99,967,797","$129,417,743","$123,674,577","$108,644,393","$99,963,195"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$29,815,252","$40,396,399","$41,866,455","$33,241,563","$31,277,187"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$38,254,238","$52,231,617","$50,949,953","$45,211,597","$40,554,230"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$28,203,174","$46,997,703","$46,498,265","$32,642,755","$29,094,978"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$150,630","$193,810","$190,749","$147,712","$97,128"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$592,249","$815,901","$799,486","$620,591","$589,032"
Beer,Import Beer,Asia And South Pacific Beer,"$1,122,806","$1,243,069","$1,397,488","$1,463,254","$1,408,293"
Beer,Import Beer,Europe Beer,"$17,343,406","$21,474,627","$21,251,499","$18,991,888","$18,451,253"
Beer,Import Beer,Mexico And Caribbean Beer,"$1,807,867","$3,689,701","$3,548,890","$1,892,591","$2,132,370"
Beer,Import Beer,Other Country Beer,"$122,427","$117,914","$114,274","$83,505","$38,683"
Beer,Import Beer,USA Beer,"$1,608,974","$2,078,953","$1,580,616","$1,417,490","$1,381,312"
