cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q1,129414971
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q2,123665089
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q3,108630190
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2021/22 Q4,99931162
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2022/23 Q1,124642669
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q1,41395426
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q2,43029928
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q3,34145945
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2021/22 Q4,32071126
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2022/23 Q1,42103560
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q1,51256733
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q2,49852157
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q3,44349207
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2021/22 Q4,39984856
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2022/23 Q1,52498243
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q1,46994831
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q2,46494521
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q3,32639758
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2021/22 Q4,29080273
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2022/23 Q1,45377415
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q1,202738
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q2,197529
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q3,152018
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2021/22 Q4,100512
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2022/23 Q1,193207
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q1,809845
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q2,796307
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q3,617698
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2021/22 Q4,585965
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2022/23 Q1,766928
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q1,1243069
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q2,1397488
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q3,1463254
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2021/22 Q4,1408959
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2022/23 Q1,1808349
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q1,21474864
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q2,21251444
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q3,18990817
Beer,Import Beer,Europe Beer,Fiscal 2021/22 Q4,18447534
Beer,Import Beer,Europe Beer,Fiscal 2022/23 Q1,22695273
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q1,3689701
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q2,3548843
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q3,1892636
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2021/22 Q4,2131294
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2022/23 Q1,3534009
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q1,117914
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q2,114274
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q3,83505
Beer,Import Beer,Other Country Beer,Fiscal 2021/22 Q4,38683
Beer,Import Beer,Other Country Beer,Fiscal 2022/23 Q1,26074
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q1,2078953
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q2,1580486
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q3,1417490
Beer,Import Beer,USA Beer,Fiscal 2021/22 Q4,1381088
Beer,Import Beer,USA Beer,Fiscal 2022/23 Q1,1910206
