cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q1,4457564
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q2,4511542
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q3,2912718
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2021/22 Q4,2758261
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2022/23 Q1,3930140
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q1,755612
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q2,707932
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q3,569902
Refreshment Beverages,Cider,Import Cider,Fiscal 2021/22 Q4,509870
Refreshment Beverages,Cider,Import Cider,Fiscal 2022/23 Q1,697586
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q1,476866
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q2,352961
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q3,166856
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2021/22 Q4,94618
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2022/23 Q1,233473
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q1,22796328
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q2,21742999
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q3,13181739
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2021/22 Q4,12193297
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2022/23 Q1,20145987
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q1,365580
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q2,341893
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q3,188952
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2021/22 Q4,212984
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2022/23 Q1,311472
