cat_type,category,subcategory,period,litres
Wine,Portugal Wine,Portugal Rose Wine,Fiscal 2021/22 Q1,28760
Wine,Portugal Wine,Portugal Rose Wine,Fiscal 2021/22 Q2,28306
Wine,Portugal Wine,Portugal Rose Wine,Fiscal 2021/22 Q3,18995
Wine,Portugal Wine,Portugal Rose Wine,Fiscal 2021/22 Q4,15653
Wine,Portugal Wine,Portugal Rose Wine,Fiscal 2022/23 Q1,20837
Wine,Portugal Wine,Portugal Sparkling Wine,Fiscal 2021/22 Q1,375
Wine,Portugal Wine,Portugal Sparkling Wine,Fiscal 2021/22 Q2,538
Wine,Portugal Wine,Portugal Sparkling Wine,Fiscal 2021/22 Q3,560
Wine,Portugal Wine,Portugal Sparkling Wine,Fiscal 2021/22 Q4,288
Wine,Portugal Wine,Portugal Sparkling Wine,Fiscal 2022/23 Q1,256
Wine,Portugal Wine,Portugal White Wine,Fiscal 2021/22 Q1,52401
Wine,Portugal Wine,Portugal White Wine,Fiscal 2021/22 Q2,52847
Wine,Portugal Wine,Portugal White Wine,Fiscal 2021/22 Q3,30816
Wine,Portugal Wine,Portugal White Wine,Fiscal 2021/22 Q4,33330
Wine,Portugal Wine,Portugal White Wine,Fiscal 2022/23 Q1,56638
Wine,Sake,Japan Sake,Fiscal 2021/22 Q1,49398
Wine,Sake,Japan Sake,Fiscal 2021/22 Q2,55000
Wine,Sake,Japan Sake,Fiscal 2021/22 Q3,69489
Wine,Sake,Japan Sake,Fiscal 2021/22 Q4,58407
Wine,Sake,Japan Sake,Fiscal 2022/23 Q1,65927
Wine,Sake,Other Country Sake,Fiscal 2021/22 Q1,4392
Wine,Sake,Other Country Sake,Fiscal 2021/22 Q2,4121
Wine,Sake,Other Country Sake,Fiscal 2021/22 Q3,3294
Wine,Sake,Other Country Sake,Fiscal 2021/22 Q4,2378
Wine,Sake,Other Country Sake,Fiscal 2022/23 Q1,3159
Wine,Sake,USA Sake,Fiscal 2021/22 Q1,61552
Wine,Sake,USA Sake,Fiscal 2021/22 Q2,70970
Wine,Sake,USA Sake,Fiscal 2021/22 Q3,88968
Wine,Sake,USA Sake,Fiscal 2021/22 Q4,82605
Wine,Sake,USA Sake,Fiscal 2022/23 Q1,81855
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2021/22 Q1,0
