cat_type,category,subcategory,period,litres
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2021/22 Q3,9502
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2021/22 Q4,6081
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2022/23 Q1,8484
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2022/23 Q2,9108
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2022/23 Q3,14542
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2021/22 Q3,18154
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2021/22 Q4,20852
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2022/23 Q1,33281
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2022/23 Q2,27452
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2022/23 Q3,27687
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2021/22 Q3,72492
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2021/22 Q4,54991
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2022/23 Q1,96277
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2022/23 Q2,123245
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2022/23 Q3,82639
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2021/22 Q3,2299
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2021/22 Q4,1051
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2022/23 Q1,1427
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2022/23 Q2,917
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2022/23 Q3,1695
Spirits,Rum,Amber Rum,Fiscal 2021/22 Q3,298581
Spirits,Rum,Amber Rum,Fiscal 2021/22 Q4,176989
Spirits,Rum,Amber Rum,Fiscal 2022/23 Q1,209978
Spirits,Rum,Amber Rum,Fiscal 2022/23 Q2,197998
Spirits,Rum,Amber Rum,Fiscal 2022/23 Q3,301087
Spirits,Rum,Dark Rum,Fiscal 2021/22 Q3,141798
Spirits,Rum,Dark Rum,Fiscal 2021/22 Q4,97513
Spirits,Rum,Dark Rum,Fiscal 2022/23 Q1,105885
Spirits,Rum,Dark Rum,Fiscal 2022/23 Q2,89103
Spirits,Rum,Dark Rum,Fiscal 2022/23 Q3,161230
Spirits,Rum,Flavoured Rum,Fiscal 2021/22 Q3,22436
Spirits,Rum,Flavoured Rum,Fiscal 2021/22 Q4,23276
Spirits,Rum,Flavoured Rum,Fiscal 2022/23 Q1,27472
Spirits,Rum,Flavoured Rum,Fiscal 2022/23 Q2,23463
Spirits,Rum,Flavoured Rum,Fiscal 2022/23 Q3,26558
Spirits,Rum,Spiced Rum,Fiscal 2021/22 Q3,464034
Spirits,Rum,Spiced Rum,Fiscal 2021/22 Q4,213085
Spirits,Rum,Spiced Rum,Fiscal 2022/23 Q1,263992
Spirits,Rum,Spiced Rum,Fiscal 2022/23 Q2,253059
Spirits,Rum,Spiced Rum,Fiscal 2022/23 Q3,484154
Spirits,Rum,White Rum,Fiscal 2021/22 Q3,311819
Spirits,Rum,White Rum,Fiscal 2021/22 Q4,236902
Spirits,Rum,White Rum,Fiscal 2022/23 Q1,306139
Spirits,Rum,White Rum,Fiscal 2022/23 Q2,308914
