cat_type,category,subcategory,period,netsales
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2022/23 Q3,16137445
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2022/23 Q4,13166849
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2023/24 Q1,20181725
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2023/24 Q2,21196475
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2023/24 Q3,12949619
Refreshment Beverages,Cider,Import Cider,Fiscal 2022/23 Q3,2840466
Refreshment Beverages,Cider,Import Cider,Fiscal 2022/23 Q4,2568276
Refreshment Beverages,Cider,Import Cider,Fiscal 2023/24 Q1,4026051
Refreshment Beverages,Cider,Import Cider,Fiscal 2023/24 Q2,3560365
Refreshment Beverages,Cider,Import Cider,Fiscal 2023/24 Q3,2988756
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2022/23 Q3,337971
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2022/23 Q4,343609
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2023/24 Q1,754660
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2023/24 Q2,816053
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2023/24 Q3,378574
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2022/23 Q3,70382677
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2022/23 Q4,66957130
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2023/24 Q1,108561822
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2023/24 Q2,116216226
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2023/24 Q3,67988173
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2022/23 Q3,1523439
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2022/23 Q4,1336774
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2023/24 Q1,2037666
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2023/24 Q2,2008372
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2023/24 Q3,1244745
