cat_type,category,subcategory,Fiscal 2022/23 Q3,Fiscal 2022/23 Q4,Fiscal 2023/24 Q1,Fiscal 2023/24 Q2,Fiscal 2023/24 Q3
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,"$7,312","$7,141","$2,674","$2,442","$54,806"
Wine,Portugal Wine,Portugal Red Wine,"$1,484,836","$1,048,667","$1,164,841","$1,129,249","$1,313,471"
Wine,Portugal Wine,Portugal Rose Wine,"$212,350","$143,574","$272,173","$284,590","$212,148"
Wine,Portugal Wine,Portugal Sparkling Wine,"$14,844","$7,053","$13,818","$7,307","$5,419"
Wine,Portugal Wine,Portugal White Wine,"$593,279","$455,033","$799,821","$811,388","$464,235"
Wine,Sake,Japan Sake,"$2,904,021","$2,436,284","$2,268,546","$2,179,934","$2,461,888"
Wine,Sake,Other Country Sake,"$71,041","$73,575","$68,646","$100,821","$84,829"
Wine,Sake,USA Sake,"$869,477","$783,209","$670,768","$597,269","$766,990"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$719,$719,"$11,000","$4,789","$9,559"
Wine,South Africa Wine,South Africa Red Wine,"$1,251,824","$896,443","$839,016","$829,879","$981,897"
Wine,South Africa Wine,South Africa Rose Wine,"$48,010","$60,148","$114,470","$125,753","$53,141"
Wine,South Africa Wine,South Africa Sparkling Wine,"$3,197","$5,930","$2,527","$2,998","$3,093"
Wine,South Africa Wine,South Africa White Wine,"$1,218,936","$1,005,358","$1,145,336","$1,158,240","$972,630"
Wine,Spain Wine,Spain Fruit and Dessert Wine,"$11,224","$13,592","$13,176","$14,192","$10,927"
Wine,Spain Wine,Spain Red Wine,"$5,026,320","$3,682,968","$3,404,794","$3,197,428","$4,424,975"
Wine,Spain Wine,Spain Rose Wine,"$115,516","$114,558","$259,645","$291,627","$134,670"
Wine,Spain Wine,Spain Sparkling Wine,"$2,272,985","$979,751","$1,318,251","$1,402,612","$2,144,225"
Wine,Spain Wine,Spain White Wine,"$430,806","$409,071","$504,223","$524,502","$469,132"
Wine,USA Wine,USA Fruit and Dessert Wine,"$17,830",$343,$871,"$3,813",$662
Wine,USA Wine,USA Red Wine,"$38,948,792","$22,126,114","$24,822,947","$23,384,390","$33,064,017"
Wine,USA Wine,USA Rose Wine,"$1,141,452","$845,714","$1,267,863","$1,188,933","$873,890"
Wine,USA Wine,USA Sparkling Wine,"$370,876","$211,417","$175,506","$153,019","$209,722"
Wine,USA Wine,USA White Wine,"$8,015,283","$5,315,782","$7,026,159","$6,963,030","$7,112,320"
