cat_type,category,subcategory,FY2024Q2,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,32789924,27106434,25175985,30186466,30485146
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,8411339,6494664,6048878,1443532,7910490
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,14038216,12042503,11106491,14218812,14174193
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,10714712,1474447,7020072,10428791,10472755
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,22048,26806,12907,16622,28750
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,210882,158610,113011,144529,128689
Beer,Import Beer,Asia And South Pacific Beer,299035,272880,276393,301859,330973
Beer,Import Beer,Europe Beer,4098331,3529702,3016284,3345865,3390434
Beer,Import Beer,Mexico And Caribbean Beer,592872,325049,342183,493201,541450
Beer,Import Beer,Other Country Beer,104708,98997,97882,102750,113715
Beer,Import Beer,USA Beer,136841,97192,70722,104565,81220
