cat_type,category,subcategory,FY2024Q2,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,124774113,105270259,99773566,117590077,118316563
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,42246397,33113089,30326136,37554195,40088320
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,53869498,46439797,42718350,54643287,54986022
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,49322746,34905095,33210351,48808102,49330280
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,148389,206981,83605,102222,171650
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,852263,606289,424913,555957,503591
Beer,Import Beer,Asia And South Pacific Beer,1672812,1558647,1558737,1770352,1924996
Beer,Import Beer,Europe Beer,21172119,18568604,16454885,17997735,18357904
Beer,Import Beer,Mexico And Caribbean Beer,3366585,1953174,2087743,2945867,3310488
Beer,Import Beer,Other Country Beer,644477,612907,615115,647958,716862
Beer,Import Beer,USA Beer,848487,600338,448256,615480,515628
