cat_type,category,subcategory,FY2024Q3,FY2024Q4,FY2025Q1,‘FY2/25Q2,FY2025Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,27106434,25175985,30186436,30475541,25661818
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,6494982,6048808,7444153,7913113,5906918
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,12042469,11106475,14219090,14186640,12437791
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,7474447,7020072,10428940,10503684,7938998
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,26806,12907,16622,32014,26279
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,158610,113011,144529,131145,119777
Beer,Import Beer,Asia And South Pacific Beer,272880,276393,301859,330973,300777
Beer,Import Beer,Europe Beer,3529702,3016400,3346066,3390398,3221085
Beer,Import Beer,Mexico And Caribbean Beer,325049,342183,493201,541430,357343
Beer,Import Beer,Other Country Beer,98997,97882,102750,113715,106396
Beer,Import Beer,USA Beer,97192,70722,104565,81763,41107
