cat_type,category,subcategory,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2,FY2025Q3
Spirits,Asian Spirits,China Spirits,1282512,1247337,774814,854498,1657988
Spirits,Asian Spirits,Korea Spirits,1419953,1431889,1249008,1420019,1417005
Spirits,Asian Spirits,Other Country Asian Spirits,191820,133718,150099,170605,168408
Spirits,Gin,Dry Gin,14166380,10657919,13768823,14373916,13130117
Spirits,Gin,Flavoured Gin,1111169,762258,1168127,1169968,991752
Spirits,Gin,Other Gin,619667,494510,998233,800233,709772
Spirits,Grape and Fruit Brandy,Armagnac,104599,103035,27790,38497,56954
Spirits,Grape and Fruit Brandy,Brandy,3482770,2195932,1986908,1933817,3222108
Spirits,Grape and Fruit Brandy,Cognac,3491373,2205775,1867628,1756788,2852656
Spirits,Grape and Fruit Brandy,Eau de Vie,387306,174612,265484,273235,378369
Spirits,Grape and Fruit Brandy,Grappa And Marc,78619,63157,61560,53493,85520
Spirits,Grape and Fruit Brandy,Pisco,128948,115466,137896,132506,135319
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,10982727,7888839,9250684,9300653,10381818
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,3329663,1717799,1746778,2046634,3592964
Spirits,Liqueurs,Cream/Dairy Liqueurs,21455471,5481557,6274718,7828829,19139575
Spirits,Liqueurs,Fruit Liqueurs,7560534,4990040,6581700,7448818,7562303
Spirits,Liqueurs,Nut Liqueurs,1932002,1076362,1422362,1551869,1789876
Spirits,Liqueurs,Other Liqueurs,1385926,992243,1117327,1383923,1469856
Spirits,Liqueurs,Whiskey Liqueurs,1989937,1207969,1299387,1319931,2132585
Spirits,Other Spirits,Cachaca,28068,34859,38574,48140,32788
Spirits,Other Spirits,Flavoured Spirits,395442,91190,123152,152238,470104
Spirits,Other Spirits,Miscellaneous/Other Spirits,253023,235871,192584,255170,210981
Spirits,Other Spirits,Moonshine Spirits,689130,513803,545487,654048,624610
Spirits,Other Spirits,Ready to Mix Cocktails,508755,488178,540775,565754,517400
Spirits,Other Spirits,Ready to Serve Cocktails,1628351,1338739,2305248,2376963,1596680
Spirits,Other Spirits,Schnapps and Akvavit,50809,37444,36309,35714,66876
Spirits,Rum,Amber Rum,8587760,4636073,5551258,5752952,7839934
Spirits,Rum,Dark Rum,3880574,2409901,2434481,2347432,3600906
Spirits,Rum,Flavoured Rum,425712,343742,407629,449130,489524
Spirits,Rum,Spiced Rum,12344985,5671746,6637788,6647524,10933386
Spirits,Rum,White Rum,7497424,5082366,6853216,7084473,7149350
Spirits,Tequila,Blanco/Silver Tequila,8899184,7356380,10322490,12061795,9103748
Spirits,Tequila,Flavoured Tequila,801173,542283,994023,1036314,942166
Spirits,Tequila,Gold Tequila,11005909,8157166,11452337,11721646,10829780
Spirits,Tequila,Mezcal,1044944,972308,1130809,1182362,971853
Spirits,Vodka,Flavoured Vodka,5332826,3806181,4612475,4584868,4217187
Spirits,Vodka,Straight Vodka,60330855,48859960,55318754,56901201,59952194
Spirits,Whisky,American Whiskey,3882372,2607951,2920597,2752420,3861557
Spirits,Whisky,Blended Malt Scotch Whisky,406663,221485,213457,247446,336337
Spirits,Whisky,Blended Scotch Whisky,10068342,6969087,7800875,7157899,9410912
Spirits,Whisky,Bourbon Whiskey,8285996,5418580,6313418,5702506,8862492
Spirits,Whisky,Canadian Whisky,35628433,24699578,29062401,28579141,33674530
Spirits,Whisky,Flavoured Whisky,1060595,757234,607639,1032943,1314804
Spirits,Whisky,Irish Whiskey,7869004,5915524,4674964,5268994,7430855
Spirits,Whisky,Other Country Whisky,2723834,1456846,1395139,1132184,3016923
Spirits,Whisky,Single Malt Scotch Whisky,19659385,8299645,10098977,8066775,16274171
