cat_type,category,subcategory,FY2024Q3,FY2024Q4,FY2025Q1,FY2025Q2,FY2025Q3
Wine,Argentina Wine,Argentina Red Wine,559397,418158,357730,344182,527610
Wine,Argentina Wine,Argentina Rose Wine,2978,2172,7708,7132,2696
Wine,Argentina Wine,Argentina Sparkling Wine,896,495,405,566,526
Wine,Argentina Wine,Argentina White Wine,27964,19106,20282,22994,27674
Wine,Australia Wine,Australia Fruit and Dessert Wine,6,6,10,6,10
Wine,Australia Wine,Australia Red Wine,528602,385504,437320,369534,526530
Wine,Australia Wine,Australia Rose Wine,30199,16173,22090,17984,25699
Wine,Australia Wine,Australia Sparkling Wine,96218,43117,53546,50144,78608
Wine,Australia Wine,Australia White Wine,333333,256914,330222,300980,359449
Wine,Austria Wine,Austria Fruit and Dessert Wine,58,64,50,54,112
Wine,Austria Wine,Austria Red Wine,1837,1282,1030,1060,1083
Wine,Austria Wine,Austria Rose Wine,239,126,140,242,189
Wine,Austria Wine,Austria Sparkling Wine,54,63,99,144,135
Wine,Austria Wine,Austria White Wine,2681,2914,2927,3532,3410
Wine,Bulgaria Wine,Bulgaria Red Wine,0,0,0,0,0
Wine,Bulgaria Wine,Bulgaria Rose Wine,0,0,0,0,0
Wine,Bulgaria Wine,Bulgaria White Wine,0,0,0,0,0
Wine,Canada - BC,Canada - BC Dessert Wine,3213,3138,2637,6317,4234
Wine,Canada - BC,Canada - BC Fruit Wine,52620,31647,45160,67709,64128
Wine,Canada - BC,Canada - BC Ice Wine,7748,6433,7048,10389,8356
Wine,Canada - BC,Canada - BC Red Wine,4418312,3461269,3418943,3546153,4172709
Wine,Canada - BC,Canada - BC Rose Wine,402868,399102,607434,690349,407699
Wine,Canada - BC,Canada - BC Sparkling Wine,188819,121344,167634,219581,182368
Wine,Canada - BC,Canada - BC White Wine,4456968,3735547,4260764,4603916,4141060
Wine,Canada - Other,Canada - Other Dessert Wine,68,38,38,58,102
Wine,Canada - Other,Canada - Other Fruit Wine,160,196,207,398,129
Wine,Canada - Other,Canada - Other Ice Wine,7218,9007,6530,6844,9019
Wine,Canada - Other,Canada - Other Red Wine,17942,21881,17786,22579,32789
Wine,Canada - Other,Canada - Other Rose Wine,2954,5192,10474,8405,5552
Wine,Canada - Other,Canada - Other Sparkling Wine,89715,41693,59221,59072,93136
Wine,Canada - Other,Canada - Other White Wine,47027,39359,61861,47597,49571
Wine,Chile Wine,Chile Fruit and Dessert Wine,27,4,9,18,18
Wine,Chile Wine,Chile Red Wine,763804,583945,509439,575303,720079
Wine,Chile Wine,Chile Rose Wine,36480,34666,77232,69405,26151
Wine,Chile Wine,Chile Sparkling Wine,4383,2864,2106,2365,3299
Wine,Chile Wine,Chile White Wine,325710,311692,335922,371602,315295
Wine,China Wine,China Fruit and Dessert Wine,326,394,286,202,291
Wine,China Wine,China Red Wine,112,63,4,9,22
Wine,China Wine,China White Wine,94,81,4,4,9
Wine,Fortified Wine,Other Fortified Domestic Wine,58759,47019,46328,47256,52953
Wine,Fortified Wine,Other Fortified Import Wine,27275,17986,14655,12711,19180
Wine,Fortified Wine,Port Wine,34663,14989,13320,14182,32030
