cat_type,category,subcategory,FY2024Q4,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4
Spirits,Asian Spirits,China Spirits,17502,13431,13655,16953,15843
Spirits,Asian Spirits,Korea Spirits,75485,66314,76274,75298,67378
Spirits,Asian Spirits,Other Country Asian Spirits,3359,3506,3980,3924,3828
Spirits,Gin,Dry Gin,326689,425203,443017,400279,309346
Spirits,Gin,Flavoured Gin,20696,32377,33095,25906,20711
Spirits,Gin,Other Gin,9371,19243,15780,14649,10877
Spirits,Grape and Fruit Brandy,Armagnac,713,267,378,575,340
Spirits,Grape and Fruit Brandy,Brandy,72726,67201,62780,106122,68208
Spirits,Grape and Fruit Brandy,Cognac,18523,16195,16417,26920,21454
Spirits,Grape and Fruit Brandy,Eau de Vie,3550,5563,4776,7748,4731
Spirits,Grape and Fruit Brandy,Grappa And Marc,1134,1152,971,1383,1077
Spirits,Grape and Fruit Brandy,Pisco,2707,3311,3042,3319,3297
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,255641,305487,301251,341276,259282
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,65305,65678,74604,132791,70455
Spirits,Liqueurs,Cream/Dairy Liqueurs,199658,225650,279020,689125,217395
Spirits,Liqueurs,Fruit Liqueurs,162564,216577,238989,232410,176308
Spirits,Liqueurs,Nut Liqueurs,38743,55137,58760,64220,37914
Spirits,Liqueurs,Other Liqueurs,30060,34126,41346,45725,27660
Spirits,Liqueurs,Whiskey Liqueurs,38377,41857,43687,68094,50365
Spirits,Other Spirits,Cachaca,1063,1124,1442,927,1267
Spirits,Other Spirits,Flavoured Spirits,1933,2369,2893,17905,1828
Spirits,Other Spirits,Miscellaneous/Other Spirits,4526,3968,5383,4104,4572
Spirits,Other Spirits,Moonshine Spirits,11410,11808,14737,13042,8851
Spirits,Other Spirits,Ready to Mix Cocktails,24980,27133,28841,25584,23656
Spirits,Other Spirits,Ready to Serve Cocktails,51007,109856,114409,62082,54036
Spirits,Other Spirits,Schnapps and Akvavit,877,874,879,1571,884
Spirits,Rum,Amber Rum,148455,176553,180964,245381,151381
Spirits,Rum,Dark Rum,85054,84682,80504,120467,83830
Spirits,Rum,Flavoured Rum,12045,14267,15657,14054,11215
Spirits,Rum,Spiced Rum,184954,219930,221764,374126,200015
Spirits,Rum,White Rum,206813,278414,284439,289248,217466
Spirits,Tequila,Blanco/Silver Tequila,148923,210349,244509,176971,161258
Spirits,Tequila,Flavoured Tequila,10364,18072,20366,17549,11924
Spirits,Tequila,Gold Tequila,151754,221990,222106,194204,149831
Spirits,Tequila,Mezcal,14742,16769,17782,14372,13742
Spirits,Vodka,Flavoured Vodka,122220,145939,146091,133722,116215
Spirits,Vodka,Straight Vodka,1848937,2068263,2121721,2242864,1851515
Spirits,Whisky,American Whiskey,65037,73116,69545,89930,62318
Spirits,Whisky,Blended Malt Scotch Whisky,3309,3365,4379,5383,4397
Spirits,Whisky,Blended Scotch Whisky,198001,220489,201197,246803,197612
Spirits,Whisky,Bourbon Whiskey,119428,136296,124175,182415,112076
Spirits,Whisky,Canadian Whisky,917867,1066978,1046214,1221943,956027
Spirits,Whisky,Flavoured Whisky,21533,17906,31126,37799,19358
Spirits,Whisky,Irish Whiskey,149786,115937,133056,183153,138128
Spirits,Whisky,Other Country Whisky,14428,19022,13961,28486,15855
Spirits,Whisky,Single Malt Scotch Whisky,87416,107401,90776,164738,90932
