cat_type,category,subcategory,FY2024Q4,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4
Wine,Argentina Wine,Argentina Red Wine,6363956,5672540,5479716,8221868,6642891
Wine,Argentina Wine,Argentina Rose Wine,42009,104550,105396,39821,38926
Wine,Argentina Wine,Argentina Sparkling Wine,9051,6592,10974,10256,8773
Wine,Argentina Wine,Argentina White Wine,274184,292790,324104,379780,544710
Wine,Australia Wine,Australia Fruit and Dessert Wine,192,520,192,429,5871
Wine,Australia Wine,Australia Red Wine,5656830,6108347,5393024,7400320,6996647
Wine,Australia Wine,Australia Rose Wine,221624,290981,230973,305850,219415
Wine,Australia Wine,Australia Sparkling Wine,659670,792734,770180,1147352,598083
Wine,Australia Wine,Australia White Wine,3248239,3918695,3715642,4238263,3473585
Wine,Austria Wine,Austria Fruit and Dessert Wine,4658,4474,2779,6297,4176
Wine,Austria Wine,Austria Red Wine,44125,34782,35434,36550,34396
Wine,Austria Wine,Austria Rose Wine,5488,5309,9542,6765,13457
Wine,Austria Wine,Austria Sparkling Wine,1781,3324,5270,5975,287
Wine,Austria Wine,Austria White Wine,90942,88325,116264,108595,107802
Wine,Bulgaria Wine,Bulgaria Red Wine,0,0,0,0,0
Wine,Bulgaria Wine,Bulgaria Rose Wine,0,0,0,0,0
Wine,Bulgaria Wine,Bulgaria White Wine,0,0,0,0,0
Wine,Canada - BC,Canada - BC Dessert Wine,148228,129770,322881,210497,195375
Wine,Canada - BC,Canada - BC Fruit Wine,649150,898582,1404221,1301850,715405
Wine,Canada - BC,Canada - BC Ice Wine,715483,742252,1118339,887417,794461
Wine,Canada - BC,Canada - BC Red Wine,51375135,51259665,61087949,65873108,49050810
Wine,Canada - BC,Canada - BC Rose Wine,6531779,10825862,13019887,6829719,5849014
Wine,Canada - BC,Canada - BC Sparkling Wine,3648251,5268496,6787098,6758477,3876317
Wine,Canada - BC,Canada - BC White Wine,46155803,54325029,62878492,51731471,41967174
Wine,Canada - Other,Canada - Other Dessert Wine,4198,4503,6752,11992,4162
Wine,Canada - Other,Canada - Other Fruit Wine,2453,2498,4724,1807,1068
Wine,Canada - Other,Canada - Other Ice Wine,779586,599585,573495,791542,901687
Wine,Canada - Other,Canada - Other Red Wine,247535,253242,318354,351238,311134
Wine,Canada - Other,Canada - Other Rose Wine,51054,100155,83292,54404,42591
Wine,Canada - Other,Canada - Other Sparkling Wine,371277,541032,535291,826732,436740
Wine,Canada - Other,Canada - Other White Wine,397159,594583,485133,479944,401842
Wine,Chile Wine,Chile Fruit and Dessert Wine,160,320,640,640,480
Wine,Chile Wine,Chile Red Wine,6528574,5761819,6136002,7888562,6825326
Wine,Chile Wine,Chile Rose Wine,353409,742419,697032,263047,277056
Wine,Chile Wine,Chile Sparkling Wine,52629,40166,43468,58295,44312
Wine,Chile Wine,Chile White Wine,3173340,3420081,3845838,3282790,3183204
Wine,China Wine,China Fruit and Dessert Wine,13450,12225,7279,10928,15095
Wine,China Wine,China Red Wine,9551,125,251,793,3829
Wine,China Wine,China White Wine,2791,125,125,251,0
Wine,Fortified Wine,Other Fortified Domestic Wine,630077,621728,831142,808514,618383
Wine,Fortified Wine,Other Fortified Import Wine,385159,331262,302519,444144,344998
Wine,Fortified Wine,Port Wine,470324,434341,493539,1125303,505466
Wine,Fortified Wine,Sherry Wine,227309,235806,211104,471357,265364
Wine,Fortified Wine,Vermouth Wine,807790,862885,847477,1028428,796698
Wine,France Wine,France Champagne Wine,2611539,3293085,4275605,7626297,2990248
Wine,France Wine,France Fruit and Dessert Wine,18204,9128,51886,17601,26062
Wine,France Wine,France Red Wine,7257802,6108637,10871149,9243467,7269303
Wine,France Wine,France Rose Wine,1771982,4281462,4493437,2066788,1842927
Wine,France Wine,France Sparkling Wine,631890,822712,940650,1177008,746617
Wine,France Wine,France White Wine,4089463,5115486,5135959,5342684,4596256
Wine,Georgia Wine,Georgia Red Wine,86855,77163,60762,112556,86462
Wine,Georgia Wine,Georgia Rose Wine,2140,1586,399,3346,389
Wine,Georgia Wine,Georgia Sparkling Wine,3648,3865,1288,1503,429
Wine,Georgia Wine,Georgia White Wine,18432,19242,15880,16017,17950
Wine,Germany Wine,Germany Fruit and Dessert Wine,0,0,1560,0,0
Wine,Germany Wine,Germany Red Wine,47341,37182,34209,37563,40225
Wine,Germany Wine,Germany Rose Wine,5952,6625,5821,0,324
Wine,Germany Wine,Germany Sparkling Wine,460401,784746,558139,1132392,437480
Wine,Germany Wine,Germany White Wine,814434,803004,858105,1133017,792004
Wine,Greece Wine,Greece Fruit and Dessert Wine,0,3658,0,0,2194
Wine,Greece Wine,Greece Red Wine,100145,129090,79848,133077,136359
Wine,Greece Wine,Greece Rose Wine,10545,21174,20167,12714,7701
Wine,Greece Wine,Greece Sparkling Wine,6335,3644,3838,6997,4938
Wine,Greece Wine,Greece White Wine,99810,171754,118999,99102,155553
Wine,Hungary Wine,Hungary Fruit and Dessert Wine,22444,18354,18675,20985,41750
Wine,Hungary Wine,Hungary Red Wine,17227,14170,16365,19191,20569
Wine,Hungary Wine,Hungary Rose Wine,2293,300,901,78,0
Wine,Hungary Wine,Hungary Sparkling Wine,65846,89877,103994,100965,53834
Wine,Hungary Wine,Hungary White Wine,113599,58399,84220,80828,72381
Wine,Israel Wine,Israel Red Wine,26537,37032,24376,31926,31051
Wine,Israel Wine,Israel Rose Wine,2428,6318,4379,1521,6761
Wine,Israel Wine,Israel White Wine,8359,10757,6102,4829,7748
Wine,Italy Wine,Italy Fruit and Dessert Wine,11209,12611,14910,15493,4826
Wine,Italy Wine,Italy Red Wine,11955774,11191726,10791407,16392718,12237708
Wine,Italy Wine,Italy Rose Wine,238502,440735,431305,194667,203512
Wine,Italy Wine,Italy Sparkling Wine,1730149,2211463,2376633,2755206,1881062
Wine,Italy Wine,Italy White Wine,5341632,6195322,6545400,6471505,5169075
Wine,Italy Wine,Prosecco Wine,4404615,7138204,8035404,10964479,4995444
Wine,New Zealand Wine,New Zealand Fruit and Dessert Wine,0,0,0,816,0
Wine,New Zealand Wine,New Zealand Red Wine,370169,495618,504934,671656,400455
Wine,New Zealand Wine,New Zealand Rose Wine,191224,395464,388213,190718,153259
Wine,New Zealand Wine,New Zealand Sparkling Wine,59155,65685,65406,143345,68956
Wine,New Zealand Wine,New Zealand White Wine,8345169,13724700,12427887,14734729,9335123
Wine,Other Country Wine,Other Country Fruit and Dessert Wine,362371,336479,325207,390864,391101
Wine,Other Country Wine,Other Country Red Wine,122488,121584,123044,168474,125273
Wine,Other Country Wine,Other Country Rose Wine,10921,20834,20075,9597,12771
Wine,Other Country Wine,Other Country Sparkling Wine,12927,28438,26997,26056,23817
Wine,Other Country Wine,Other Country White Wine,57913,77055,90144,91152,86285
Wine,Other Style Wine,Aperitif And Flavoured Wine,73779,74441,75188,97573,68171
Wine,Other Style Wine,Mead,182956,148338,298847,165302,147698
Wine,Other Style Wine,Rice Wine,87451,69799,68782,76682,69328
Wine,Portugal Wine,Portugal Fruit and Dessert Wine,3117,1295,351,1737,3347
Wine,Portugal Wine,Portugal Red Wine,1236324,1257453,953129,1405792,1190390
Wine,Portugal Wine,Portugal Rose Wine,155168,271702,285855,218594,163069
Wine,Portugal Wine,Portugal Sparkling Wine,6038,7528,4606,2703,1272
Wine,Portugal Wine,Portugal White Wine,416190,635468,758659,445330,489007
Wine,Sake,Japan Sake,2141909,1988730,2099259,2458376,2468168
Wine,Sake,Other Country Sake,71641,87092,135215,136869,97554
Wine,Sake,USA Sake,747507,681661,576542,718437,716698
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,211,633,633,149
Wine,South Africa Wine,South Africa Red Wine,780897,793956,681854,976007,825874
Wine,South Africa Wine,South Africa Rose Wine,28702,40245,49933,20884,21316
Wine,South Africa Wine,South Africa Sparkling Wine,11972,3002,4402,2550,9543
Wine,South Africa Wine,South Africa White Wine,962011,944501,1049252,959037,874551
Wine,Spain Wine,Spain Fruit and Dessert Wine,11863,12277,11577,12766,11156
