cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q1,30186179.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q1,7452401.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q1,14220084.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q1,10428920.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q1,16622.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q1,144529.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q1,301859.0
Beer,Import Beer,Europe Beer,FY2025Q1,3346016.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q1,493201.0
Beer,Import Beer,Other Country Beer,FY2025Q1,102750.0
Beer,Import Beer,USA Beer,FY2025Q1,104565.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q2,30474912.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q2,7969643.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q2,14189727.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q2,10503368.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q2,32014.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q2,131145.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q2,330992.0
Beer,Import Beer,Europe Beer,FY2025Q2,3390398.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q2,541430.0
Beer,Import Beer,Other Country Beer,FY2025Q2,113715.0
Beer,Import Beer,USA Beer,FY2025Q2,81763.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q3,25656254.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q3,6059604.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q3,12468705.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q3,7535138.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q3,26279.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q3,119865.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q3,300872.0
Beer,Import Beer,Europe Beer,FY2025Q3,3220027.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q3,357119.0
Beer,Import Beer,Other Country Beer,FY2025Q3,106396.0
Beer,Import Beer,USA Beer,FY2025Q3,41107.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2025Q4,23403325.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2025Q4,5756177.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2025Q4,11379660.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2025Q4,7007217.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2025Q4,20560.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2025Q4,130879.0
Beer,Import Beer,Asia And South Pacific Beer,FY2025Q4,280137.0
Beer,Import Beer,Europe Beer,FY2025Q4,2984754.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2025Q4,310821.0
Beer,Import Beer,Other Country Beer,FY2025Q4,97992.0
Beer,Import Beer,USA Beer,FY2025Q4,25497.0
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,FY2026Q1,27825017.0
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,FY2026Q1,7301785.0
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,FY2026Q1,14571748.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,FY2026Q1,10581811.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,FY2026Q1,30509.0
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,FY2026Q1,171524.0
Beer,Import Beer,Asia And South Pacific Beer,FY2026Q1,324585.0
Beer,Import Beer,Europe Beer,FY2026Q1,3126669.0
Beer,Import Beer,Mexico And Caribbean Beer,FY2026Q1,438325.0
Beer,Import Beer,Other Country Beer,FY2026Q1,108243.0
Beer,Import Beer,USA Beer,FY2026Q1,10472.0
