cat_type,category,subcategory,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1
beer,Domestic,BC Beer Domestic - BC Commercial Beer,117588906.0,118276668.0,101448870.0,92915852.0,110121222.0
beer,Domestic,BC Micro Brew Beer,37591698.0,40371790.0,31139973.0,29087999.0,37368329.0
beer,Domestic,BC Regional Beer,54648605.0,55044160.0,48584204.0,43766570.0,56204094.0
beer,Domestic,Other Province Beer Domestic - Other Province Commercial Beer,48808662.0,49459271.0,36121404.0,33555499.0,49170224.0
beer,Domestic,Other Province Micro Brew Beer,102222.0,202178.0,197971.0,138141.0,194492.0
beer,Domestic,Other Province Regional Beer,555957.0,516105.0,465121.0,493752.0,645574.0
beer,Import Beer Asia And South Pacific Beer,Import Beer Asia And South Pacific Beer,1770352.0,1925110.0,1763305.0,1660804.0,1922111.0
beer,Europe Beer,Europe Beer,17998980.0,18358912.0,17525225.0,16591520.0,17181282.0
beer,Mexico And Caribbean Beer,Mexico And Caribbean Beer,2945867.0,3310361.0,2230129.0,1968593.0,2762877.0
beer,Other Country Beer,Other Country Beer,647958.0,716862.0,660592.0,617009.0,680222.0
beer,USA Beer,USA Beer,615480.0,525573.0,253749.0,179983.0,75664.0
