cat_type,category,subcategory,period,litres
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q1,2491312.0
refreshment,Import Cider,Import Cider,FY2025Q1,647830.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q1,70037.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q1,19995242.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q1,156275.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q2,2848527.0
refreshment,Import Cider,Import Cider,FY2025Q2,691478.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q2,117201.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q2,22624910.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q2,142573.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q3,1905192.0
refreshment,Import Cider,Import Cider,FY2025Q3,605747.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q3,52005.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q3,14011494.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q3,99059.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2025Q4,1660438.0
refreshment,Import Cider,Import Cider,FY2025Q4,494481.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2025Q4,40682.0
refreshment,Spirit Coolers,Spirit Coolers,FY2025Q4,13278828.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2025Q4,100936.0
refreshment,Cider Domestic Cider,Cider Domestic Cider,FY2026Q1,2443445.0
refreshment,Import Cider,Import Cider,FY2026Q1,677601.0
refreshment,Coolers Malt-Based Coolers,Coolers Malt-Based Coolers,FY2026Q1,32840.0
refreshment,Spirit Coolers,Spirit Coolers,FY2026Q1,20384604.0
refreshment,Wine/Fruit Coolers,Wine/Fruit Coolers,FY2026Q1,123005.0
