cat_type,category,subcategory,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1
Spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,13431.0,13655.0,16953.0,15843.0,12208.0
Spirits,Korea Spirits,Korea Spirits,66314.0,76274.0,75298.0,67378.0,68448.0
Spirits,Other Country Asian Spirits,Other Country Asian Spirits,3506.0,3980.0,3924.0,3828.0,2602.0
Spirits,Gin Dry Gin,Gin Dry Gin,425204.0,443014.0,400347.0,309753.0,403054.0
Spirits,Flavoured Gin,Flavoured Gin,32390.0,33095.0,25906.0,20946.0,34746.0
Spirits,Other Gin,Other Gin,19326.0,15780.0,14649.0,10877.0,15918.0
Spirits,Brandy,Brandy,67223.0,62780.0,106122.0,68208.0,63768.0
Spirits,Cognac,Cognac,16195.0,16417.0,26920.0,21454.0,16221.0
Spirits,Eau de Vie,Eau de Vie,5581.0,4776.0,7748.0,4731.0,5931.0
Spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,1152.0,1383.0,1077.0,,
Spirits,Pisco,Pisco,3311.0,3042.0,3319.0,3297.0,2968.0
Spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,305487.0,301251.0,341276.0,259293.0,315130.0
Spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,65678.0,74604.0,132805.0,70508.0,62368.0
Spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,225650.0,279020.0,689125.0,217412.0,212970.0
Spirits,Fruit Liqueurs,Fruit Liqueurs,216577.0,238989.0,232421.0,176383.0,201922.0
Spirits,Nut Liqueurs,Nut Liqueurs,55137.0,58760.0,64218.0,37942.0,54833.0
Spirits,Other Liqueurs,Other Liqueurs,34126.0,41346.0,45725.0,27671.0,34229.0
Spirits,Whiskey Liqueurs,Whiskey Liqueurs,41857.0,43687.0,68094.0,50390.0,39738.0
Spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927,1124.0,1442.0,1267.0,1518.0,
Spirits,Flavoured Spirits,Flavoured Spirits,2369.0,2893.0,17905.0,1887.0,1757.0
Spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,3968.0,5383.0,4108.0,4582.0,4026.0
Spirits,Other Spirits Moonshine Spirits,Other Spirits Moonshine Spirits,11808.0,14737.0,13042.0,8974.0,3662.0
Spirits,Ready to Mix Cocktails,Ready to Mix Cocktails,27133.0,28841.0,25584.0,23656.0,28623.0
Spirits,Ready to Serve Cocktails,Ready to Serve Cocktails,95942.0,96719.0,48679.0,44142.0,58371.0
Spirits,Schnapps and Akvavit 874 879 917 999,Schnapps and Akvavit 874 879 917 999,1571.0,,,,
Spirits,Rum Amber Rum,Rum Amber Rum,176631.0,180964.0,245381.0,151381.0,146935.0
Spirits,Dark Rum,Dark Rum,84682.0,80504.0,120467.0,83830.0,90798.0
Spirits,Flavoured Rum,Flavoured Rum,14267.0,15657.0,14054.0,11215.0,8561.0
Spirits,Spiced Rum,Spiced Rum,219930.0,221764.0,374126.0,200015.0,177232.0
Spirits,White Rum,White Rum,278414.0,284439.0,289248.0,217469.0,244280.0
Spirits,Tequila Blanco/Silver Tequila,Tequila Blanco/Silver Tequila,210349.0,244509.0,176971.0,161258.0,217895.0
Spirits,Flavoured Tequila,Flavoured Tequila,18072.0,20366.0,17549.0,11924.0,25823.0
Spirits,Gold Tequila,Gold Tequila,221990.0,222106.0,194204.0,149831.0,215840.0
Spirits,Mezcal,Mezcal,16769.0,17782.0,14372.0,13742.0,16656.0
Spirits,Vodka Flavoured Vodka,Vodka Flavoured Vodka,145942.0,146091.0,133761.0,116415.0,119276.0
Spirits,Straight Vodka,Straight Vodka,2068263.0,2121721.0,2242889.0,1851897.0,2027651.0
Spirits,Whisky American Whiskey,Whisky American Whiskey,73116.0,69545.0,89930.0,62318.0,12225.0
Spirits,Blended Malt Scotch Whisky,Blended Malt Scotch Whisky,3365.0,4379.0,5383.0,4397.0,4345.0
Spirits,Blended Scotch Whisky,Blended Scotch Whisky,220489.0,201197.0,246803.0,197612.0,197744.0
Spirits,Bourbon Whiskey,Bourbon Whiskey,136296.0,124175.0,182415.0,112076.0,13293.0
Spirits,Canadian Whisky,Canadian Whisky,1066978.0,1046214.0,1221944.0,956487.0,1121525.0
Spirits,Flavoured Whisky,Flavoured Whisky,17906.0,31126.0,37799.0,19358.0,13710.0
Spirits,Irish Whiskey,Irish Whiskey,115937.0,133056.0,183153.0,138128.0,130209.0
Spirits,Other Country Whisky,Other Country Whisky,19022.0,13961.0,28486.0,15855.0,16347.0
Spirits,Whisky Single Malt Scotch Whisky,Whisky Single Malt Scotch Whisky,107401.0,90776.0,164738.0,90933.0,99358.0
