cat_type,category,subcategory,period,litres
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,FY2025Q1,13431.0
spirits,Korea Spirits,Korea Spirits,FY2025Q1,66314.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,FY2025Q1,3506.0
spirits,Gin Dry Gin,Gin Dry Gin,FY2025Q1,425204.0
spirits,Flavoured Gin,Flavoured Gin,FY2025Q1,32390.0
spirits,Other Gin,Other Gin,FY2025Q1,19326.0
spirits,Brandy,Brandy,FY2025Q1,67223.0
spirits,Cognac,Cognac,FY2025Q1,16195.0
spirits,Eau de Vie,Eau de Vie,FY2025Q1,5581.0
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,FY2025Q1,1152.0
spirits,Pisco,Pisco,FY2025Q1,3311.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,FY2025Q1,305487.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q1,65678.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,FY2025Q1,225650.0
spirits,Fruit Liqueurs,Fruit Liqueurs,FY2025Q1,216577.0
spirits,Nut Liqueurs,Nut Liqueurs,FY2025Q1,55137.0
spirits,Other Liqueurs,Other Liqueurs,FY2025Q1,34126.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,FY2025Q1,41857.0
spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927,FY2025Q1,1124.0
spirits,Flavoured Spirits,Flavoured Spirits,FY2025Q1,2369.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,FY2025Q1,3968.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,FY2025Q2,13655.0
spirits,Korea Spirits,Korea Spirits,FY2025Q2,76274.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,FY2025Q2,3980.0
spirits,Gin Dry Gin,Gin Dry Gin,FY2025Q2,443014.0
spirits,Flavoured Gin,Flavoured Gin,FY2025Q2,33095.0
spirits,Other Gin,Other Gin,FY2025Q2,15780.0
spirits,Brandy,Brandy,FY2025Q2,62780.0
spirits,Cognac,Cognac,FY2025Q2,16417.0
spirits,Eau de Vie,Eau de Vie,FY2025Q2,4776.0
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,FY2025Q2,1383.0
spirits,Pisco,Pisco,FY2025Q2,3042.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,FY2025Q2,301251.0
spirits,Coffee And Cocoa Liqueurs,Coffee And Cocoa Liqueurs,FY2025Q2,74604.0
spirits,Cream/Dairy Liqueurs,Cream/Dairy Liqueurs,FY2025Q2,279020.0
spirits,Fruit Liqueurs,Fruit Liqueurs,FY2025Q2,238989.0
spirits,Nut Liqueurs,Nut Liqueurs,FY2025Q2,58760.0
spirits,Other Liqueurs,Other Liqueurs,FY2025Q2,41346.0
spirits,Whiskey Liqueurs,Whiskey Liqueurs,FY2025Q2,43687.0
spirits,Other Spirits Cachaca 927,Other Spirits Cachaca 927,FY2025Q2,1442.0
spirits,Flavoured Spirits,Flavoured Spirits,FY2025Q2,2893.0
spirits,Miscellaneous/Other Spirits,Miscellaneous/Other Spirits,FY2025Q2,5383.0
spirits,Asian Spirits China Spirits,Asian Spirits China Spirits,FY2025Q3,16953.0
spirits,Korea Spirits,Korea Spirits,FY2025Q3,75298.0
spirits,Other Country Asian Spirits,Other Country Asian Spirits,FY2025Q3,3924.0
spirits,Gin Dry Gin,Gin Dry Gin,FY2025Q3,400347.0
spirits,Flavoured Gin,Flavoured Gin,FY2025Q3,25906.0
spirits,Other Gin,Other Gin,FY2025Q3,14649.0
spirits,Brandy,Brandy,FY2025Q3,106122.0
spirits,Cognac,Cognac,FY2025Q3,26920.0
spirits,Eau de Vie,Eau de Vie,FY2025Q3,7748.0
spirits,Grappa And Marc 971 911,Grappa And Marc 971 911,FY2025Q3,1077.0
spirits,Pisco,Pisco,FY2025Q3,3319.0
spirits,Liqueurs Anise And Herbal/Spice Liqueurs,Liqueurs Anise And Herbal/Spice Liqueurs,FY2025Q3,341276.0
