cat_type,category,subcategory,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1
Spirits,Asian Spirits,China Spirits,774814.0,854498.0,1657988.0,1455746.0,784261.0
Spirits,Asian Spirits,Korea Spirits,1249008.0,1420019.0,1417005.0,1270656.0,1290297.0
Spirits,Asian Spirits,Other Country Asian Spirits,150099.0,170605.0,168408.0,162967.0,111724.0
Spirits,Gin,Dry Gin,13779822.0,14415265.0,13202535.0,10179664.0,12997252.0
Spirits,Gin,Flavoured Gin,1168915.0,1194470.0,1017242.0,779457.0,1278222.0
Spirits,Gin,Other Gin,1004660.0,811398.0,741361.0,562253.0,805741.0
Spirits,Grape and Fruit Brandy,Armagnac,27790.0,38497.0,56954.0,48284.0,36832.0
Spirits,Grape and Fruit Brandy,Brandy,1989105.0,1935321.0,3224104.0,2062821.0,1894827.0
Spirits,Grape and Fruit Brandy,Cognac,1867628.0,1756788.0,2852656.0,2557535.0,1732944.0
Spirits,Grape and Fruit Brandy,Eau de Vie,266303.0,273235.0,378369.0,240257.0,308020.0
Spirits,Grape and Fruit Brandy,Grappa And Marc,61560.0,53493.0,85520.0,63854.0,51570.0
Spirits,Grape and Fruit Brandy,Pisco,137896.0,132506.0,135319.0,145198.0,131034.0
Spirits,Liqueurs,Anise And Herbal/Spice Liqueurs,9250684.0,9300653.0,10393253.0,8131436.0,9626771.0
Spirits,Liqueurs,Coffee And Cocoa Liqueurs,1749309.0,2048655.0,3594367.0,1927947.0,1763842.0
Spirits,Liqueurs,Cream/Dairy Liqueurs,6274718.0,7834161.0,19166462.0,5964526.0,5916616.0
Spirits,Liqueurs,Fruit Liqueurs,6584692.0,7453980.0,7571281.0,5713694.0,6334673.0
Spirits,Liqueurs,Nut Liqueurs,1422362.0,1551869.0,1794484.0,1071658.0,1455880.0
Spirits,Liqueurs,Other Liqueurs,1117327.0,1385733.0,1485052.0,927469.0,1167344.0
Spirits,Liqueurs,Whiskey Liqueurs,1299387.0,1320122.0,2133466.0,1515319.0,1146481.0
Spirits,Other Spirits,Cachaca,38574.0,48140.0,32788.0,42205.0,50903.0
Spirits,Other Spirits,Flavoured Spirits,123152.0,153016.0,474591.0,84871.0,92366.0
Spirits,Other Spirits,Miscellaneous/Other Spirits,192584.0,255170.0,211254.0,233685.0,185698.0
Spirits,Other Spirits,Moonshine Spirits,545487.0,656801.0,626064.0,413007.0,171260.0
Spirits,Other Spirits,Ready to Mix Cocktails,540775.0,565754.0,517400.0,473349.0,573108.0
Spirits,Other Spirits,Ready to Serve Cocktails,1937009.0,1978686.0,1370774.0,1182130.0,1490801.0
Spirits,Other Spirits,Schnapps and Akvavit,36309.0,36179.0,77952.0,45896.0,43653.0
Spirits,Rum,Amber Rum,5548581.0,5744085.0,7835310.0,4879050.0,4798244.0
Spirits,Rum,Dark Rum,2434481.0,2347432.0,3601239.0,2458945.0,2654560.0
Spirits,Rum,Flavoured Rum,407629.0,449130.0,489524.0,373076.0,315424.0
Spirits,Rum,Spiced Rum,6637788.0,6647524.0,10933386.0,6080225.0,5292421.0
Spirits,Rum,White Rum,6860016.0,7093339.0,7154280.0,5507126.0,6162394.0
Spirits,Tequila,Blanco/Silver Tequila,10322490.0,12061795.0,9103748.0,7966119.0,10602184.0
Spirits,Tequila,Flavoured Tequila,994023.0,1036314.0,942166.0,622431.0,1257483.0
Spirits,Tequila,Gold Tequila,11452337.0,11721646.0,10829780.0,8075055.0,11080863.0
Spirits,Tequila,Mezcal,1130809.0,1182362.0,971853.0,943342.0,1114986.0
Spirits,Vodka,Flavoured Vodka,4612632.0,4589808.0,4224170.0,3689708.0,3719883.0
Spirits,Vodka,Straight Vodka,55321392.0,56909045.0,59979356.0,48944870.0,53793591.0
Spirits,Whisky,American Whiskey,2920597.0,2752420.0,3861557.0,2525901.0,321000.0
Spirits,Whisky,Blended Malt Scotch Whisky,213457.0,247446.0,336337.0,256288.0,253154.0
Spirits,Whisky,Blended Scotch Whisky,7800875.0,7157899.0,9410912.0,7139807.0,6980436.0
Spirits,Whisky,Bourbon Whiskey,6313418.0,5702506.0,8862492.0,5179484.0,419971.0
Spirits,Whisky,Canadian Whisky,29066717.0,28605601.0,33687735.0,26574853.0,31324101.0
Spirits,Whisky,Flavoured Whisky,607639.0,1032943.0,1314804.0,664242.0,439953.0
Spirits,Whisky,Irish Whiskey,4674964.0,5268994.0,7430855.0,5477868.0,5314696.0
Spirits,Whisky,Other Country Whisky,1395139.0,1132184.0,3016923.0,1335623.0,1350206.0
Spirits,As a result of Q inventory adjustments related to U.S. products U.S. wines,As a result of Q inventory adjustments related to U.S. products U.S. wines,1.0,,,,
Spirits,Whisky,Single Malt Scotch Whisky,10098977.0,8066775.0,16274171.0,8581950.0,8920136.0
Spirits,As a result of Q inventory adjustments related to U.S. products U.S. wines,As a result of Q inventory adjustments related to U.S. products U.S. wines,1.0,,,,
