cat_type,category,subcategory,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1
Wine,Argentina Wine,Argentina Red Wine,357730.0,344182.0,527610.0,437776.0,461147.0
Wine,Argentina Wine,Argentina Rose Wine,7708.0,7132.0,2696.0,2785.0,7822.0
Wine,Argentina Wine,Argentina Sparkling Wine,405.0,566.0,526.0,459.0,522.0
Wine,Argentina Wine,Argentina White Wine,20282.0,22994.0,27674.0,41647.0,52248.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,10.0,6.0,10.0,114.0,21.0
Wine,Australia Wine,Australia Red Wine,437320.0,369534.0,526530.0,496722.0,476629.0
Wine,Australia Wine,Australia Rose Wine,22090.0,17984.0,25699.0,15513.0,23674.0
Wine,Australia Wine,Australia Sparkling Wine,53546.0,50144.0,78608.0,38980.0,53501.0
Wine,Australia Wine,Australia White Wine,330222.0,300980.0,359449.0,285037.0,397359.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,50.0,54.0,112.0,81.0,34.0
Wine,Austria Wine,Austria Red Wine,1030.0,1060.0,1083.0,1084.0,878.0
Wine,Austria Wine,Austria Rose Wine,140.0,242.0,189.0,387.0,346.0
Wine,Austria Wine,Austria Sparkling Wine,99.0,144.0,135.0,9.0,86.0
Wine,Austria Wine,Austria White Wine,2927.0,3532.0,3410.0,3097.0,4022.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,2637.0,6355.0,4246.0,4190.0,3719.0
Wine,Canada - BC,Canada - BC Fruit Wine,45177.0,67760.0,65078.0,35416.0,47949.0
Wine,Canada - BC,Canada - BC Ice Wine,7048.0,10389.0,8361.0,6973.0,6664.0
Wine,Canada - BC,Canada - BC Red Wine,3423617.0,3551826.0,4193332.0,3261671.0,3479367.0
Wine,Canada - BC,Canada - BC Rose Wine,609403.0,691317.0,410109.0,355386.0,632461.0
Wine,Canada - BC,Canada - BC Sparkling Wine,166321.0,218632.0,185179.0,113072.0,180008.0
Wine,Canada - BC,Canada - BC White Wine,4264612.0,4608137.0,4156606.0,3424638.0,4331145.0
Wine,Canada - Other,Canada - Other Dessert Wine,38.0,58.0,102.0,41.0,34.0
Wine,Canada - Other,Canada - Other Fruit Wine,207.0,398.0,152.0,92.0,147.0
Wine,Canada - Other,Canada - Other Ice Wine,6530.0,6844.0,9019.0,10030.0,5801.0
Wine,Canada - Other,Canada - Other Red Wine,17786.0,22579.0,32789.0,26613.0,28870.0
Wine,Canada - Other,Canada - Other Rose Wine,10474.0,8405.0,5552.0,4482.0,10668.0
Wine,Canada - Other,Canada - Other Sparkling Wine,59221.0,59072.0,93136.0,47171.0,65560.0
Wine,Canada - Other,Canada - Other White Wine,61861.0,47597.0,49591.0,41027.0,54724.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,9.0,18.0,18.0,14.0,14.0
Wine,Chile Wine,Chile Red Wine,509439.0,575303.0,720082.0,611208.0,610363.0
Wine,Chile Wine,Chile Rose Wine,77232.0,69405.0,26151.0,26576.0,56358.0
Wine,Chile Wine,Chile Sparkling Wine,2106.0,2365.0,3299.0,2190.0,2175.0
Wine,Chile Wine,Chile White Wine,335922.0,371602.0,315295.0,306921.0,356461.0
Wine,China Wine,China Fruit and Dessert Wine,286.0,202.0,291.0,362.0,114.0
Wine,China Wine,China Red Wine,4.0,9.0,22.0,122.0,4.0
Wine,China Wine,China White Wine,4.0,4.0,9.0,0.0,225.0
Wine,Fortified Wine,Other Fortified Domestic Wine,46328.0,47256.0,53022.0,44973.0,41468.0
Wine,Fortified Wine,Other Fortified Import Wine,14655.0,12711.0,19180.0,14578.0,13742.0
Wine,Fortified Wine,Other Fortified Import Wine,13320.0,14200.0,32098.0,14973.0,14468.0
Wine,Fortified Wine,Sherry Wine,10388.0,9408.0,21825.0,11470.0,10146.0
Wine,Fortified Wine,Vermouth Wine,58080.0,55300.0,68827.0,51524.0,55291.0
