cat_type,category,subcategory,period,litres
Wine,Argentina Wine,Argentina Red Wine,FY2025Q1,357730.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q1,7708.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q1,405.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q1,20282.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q1,10.0
Wine,Australia Wine,Australia Red Wine,FY2025Q1,437320.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q1,22090.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q1,53546.0
Wine,Australia Wine,Australia White Wine,FY2025Q1,330222.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q1,50.0
Wine,Austria Wine,Austria Red Wine,FY2025Q1,1030.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q1,140.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q1,99.0
Wine,Austria Wine,Austria White Wine,FY2025Q1,2927.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q1,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q1,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q1,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q1,2637.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q1,45177.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q1,7048.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q1,3423617.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q1,609403.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q2,344182.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q2,7132.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q2,566.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q2,22994.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q2,6.0
Wine,Australia Wine,Australia Red Wine,FY2025Q2,369534.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q2,17984.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q2,50144.0
Wine,Australia Wine,Australia White Wine,FY2025Q2,300980.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q2,54.0
Wine,Austria Wine,Austria Red Wine,FY2025Q2,1060.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q2,242.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q2,144.0
Wine,Austria Wine,Austria White Wine,FY2025Q2,3532.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q2,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q2,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q2,6355.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q2,67760.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q2,10389.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q2,3551826.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q2,691317.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q3,527610.0
Wine,Argentina Wine,Argentina Rose Wine,FY2025Q3,2696.0
Wine,Argentina Wine,Argentina Sparkling Wine,FY2025Q3,526.0
Wine,Argentina Wine,Argentina White Wine,FY2025Q3,27674.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,FY2025Q3,10.0
Wine,Australia Wine,Australia Red Wine,FY2025Q3,526530.0
Wine,Australia Wine,Australia Rose Wine,FY2025Q3,25699.0
Wine,Australia Wine,Australia Sparkling Wine,FY2025Q3,78608.0
Wine,Australia Wine,Australia White Wine,FY2025Q3,359449.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,FY2025Q3,112.0
Wine,Austria Wine,Austria Red Wine,FY2025Q3,1083.0
Wine,Austria Wine,Austria Rose Wine,FY2025Q3,189.0
Wine,Austria Wine,Austria Sparkling Wine,FY2025Q3,135.0
Wine,Austria Wine,Austria White Wine,FY2025Q3,3410.0
Wine,Bulgaria Wine,Bulgaria Red Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,FY2025Q3,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,FY2025Q3,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,FY2025Q3,4246.0
Wine,Canada - BC,Canada - BC Fruit Wine,FY2025Q3,65078.0
Wine,Canada - BC,Canada - BC Ice Wine,FY2025Q3,8361.0
Wine,Canada - BC,Canada - BC Red Wine,FY2025Q3,4193332.0
Wine,Canada - BC,Canada - BC Rose Wine,FY2025Q3,410109.0
Wine,Argentina Wine,Argentina Red Wine,FY2025Q4,437776.0
