cat_type,category,subcategory,FY2025Q1,FY2025Q2,FY2025Q3,FY2025Q4,FY2026Q1
Wine,Argentina Wine,Argentina Red Wine,5672540.0,5479716.0,8221868.0,6643271.0,7105215.0
Wine,Argentina Wine,Argentina Rose Wine,104550.0,105396.0,39821.0,38926.0,111321.0
Wine,Argentina Wine,Argentina Sparkling Wine,6592.0,10974.0,10256.0,8773.0,10450.0
Wine,Argentina Wine,Argentina White Wine,292790.0,324104.0,379780.0,544710.0,707953.0
Wine,Australia Wine,Australia Fruit and Dessert Wine,520.0,192.0,429.0,5871.0,1010.0
Wine,Australia Wine,Australia Red Wine,6108347.0,5393024.0,7400320.0,6996647.0,6961885.0
Wine,Australia Wine,Australia Rose Wine,290981.0,230973.0,305850.0,219415.0,311084.0
Wine,Australia Wine,Australia Sparkling Wine,792734.0,770180.0,1147352.0,598083.0,805384.0
Wine,Australia Wine,Australia White Wine,3918695.0,3715642.0,4238263.0,3473585.0,4734229.0
Wine,Austria Wine,Austria Fruit and Dessert Wine,4474.0,2779.0,6297.0,4176.0,2438.0
Wine,Austria Wine,Austria Red Wine,34782.0,35434.0,36550.0,34396.0,30714.0
Wine,Austria Wine,Austria Rose Wine,5309.0,9542.0,6765.0,13457.0,12263.0
Wine,Austria Wine,Austria Sparkling Wine,3324.0,5270.0,5975.0,287.0,2920.0
Wine,Austria Wine,Austria White Wine,88325.0,116264.0,108595.0,107802.0,132301.0
Wine,Bulgaria Wine,Bulgaria Red Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria Rose Wine,0.0,0.0,0.0,0.0,0.0
Wine,Bulgaria Wine,Bulgaria White Wine,0.0,0.0,0.0,0.0,0.0
Wine,Canada - BC,Canada - BC Dessert Wine,129770.0,322881.0,210497.0,197815.0,204277.0
Wine,Canada - BC,Canada - BC Fruit Wine,898582.0,1404221.0,1301850.0,719025.0,949541.0
Wine,Canada - BC,Canada - BC Ice Wine,742252.0,1118339.0,887417.0,794502.0,841686.0
Wine,Canada - BC,Canada - BC Red Wine,51264602.0,61088846.0,65877490.0,49702837.0,55307693.0
Wine,Canada - BC,Canada - BC Rose Wine,10827253.0,13019887.0,6829947.0,5883440.0,11169355.0
Wine,Canada - BC,Canada - BC Sparkling Wine,5272748.0,6787098.0,6758477.0,3900139.0,6845951.0
Wine,Canada - BC,Canada - BC White Wine,54333465.0,62879556.0,51732137.0,42310784.0,55909067.0
Wine,Canada - Other,Canada - Other Dessert Wine,4503.0,6752.0,11992.0,4162.0,4036.0
Wine,Canada - Other,Canada - Other Fruit Wine,2498.0,4724.0,1807.0,1093.0,1634.0
Wine,Canada - Other,Canada - Other Ice Wine,599585.0,573495.0,791542.0,901687.0,508044.0
Wine,Canada - Other,Canada - Other Red Wine,253242.0,318354.0,351238.0,311134.0,306456.0
Wine,Canada - Other,Canada - Other Rose Wine,100155.0,83292.0,54404.0,42591.0,104643.0
Wine,Canada - Other,Canada - Other Sparkling Wine,541032.0,535291.0,826732.0,436740.0,683107.0
Wine,Canada - Other,Canada - Other White Wine,594583.0,485133.0,479944.0,401842.0,524468.0
Wine,Chile Wine,Chile Fruit and Dessert Wine,320.0,640.0,640.0,480.0,481.0
Wine,Chile Wine,Chile Red Wine,5761819.0,6136002.0,7888562.0,6825361.0,6811691.0
Wine,Chile Wine,Chile Rose Wine,742419.0,697032.0,263047.0,277056.0,586642.0
Wine,Chile Wine,Chile Sparkling Wine,40166.0,43468.0,58295.0,44312.0,44068.0
Wine,Chile Wine,Chile White Wine,3420081.0,3845838.0,3282790.0,3183204.0,3784795.0
