cat_type,category,subcategory,period,netsales
Wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,FY2025Q1,5672540.0
Wine,Argentina Rose Wine,Argentina Rose Wine,FY2025Q1,104550.0
Wine,Argentina Sparkling Wine,Argentina Sparkling Wine,FY2025Q1,6592.0
Wine,Argentina White Wine,Argentina White Wine,FY2025Q1,292790.0
Wine,Australia Wine Australia Fruit and Dessert Wine,Australia Wine Australia Fruit and Dessert Wine,FY2025Q1,520.0
Wine,Australia Red Wine,Australia Red Wine,FY2025Q1,6108347.0
Wine,Australia Rose Wine,Australia Rose Wine,FY2025Q1,290981.0
Wine,Australia Sparkling Wine,Australia Sparkling Wine,FY2025Q1,792734.0
Wine,Australia White Wine,Australia White Wine,FY2025Q1,3918695.0
Wine,Austria Wine Austria Fruit and Dessert Wine,Austria Wine Austria Fruit and Dessert Wine,FY2025Q1,4474.0
Wine,Austria Red Wine,Austria Red Wine,FY2025Q1,34782.0
Wine,Austria Rose Wine,Austria Rose Wine,FY2025Q1,5309.0
Wine,Austria Sparkling Wine,Austria Sparkling Wine,FY2025Q1,3324.0
Wine,Austria White Wine,Austria White Wine,FY2025Q1,88325.0
Wine,Bulgaria Wine Bulgaria Red Wine,Bulgaria Wine Bulgaria Red Wine,FY2025Q1,0.0
Wine,Bulgaria Rose Wine,Bulgaria Rose Wine,FY2025Q1,0.0
Wine,Bulgaria White Wine,Bulgaria White Wine,FY2025Q1,0.0
Wine,Canada,BC Canada - BC Dessert Wine,FY2025Q1,129770.0
Wine,Canada,BC Fruit Wine,FY2025Q1,898582.0
Wine,Canada,BC Ice Wine,FY2025Q1,742252.0
Wine,Canada,BC Red Wine,FY2025Q1,51264602.0
Wine,Canada,BC Rose Wine,FY2025Q1,10827253.0
Wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,FY2025Q2,5479716.0
Wine,Argentina Rose Wine,Argentina Rose Wine,FY2025Q2,105396.0
Wine,Argentina Sparkling Wine,Argentina Sparkling Wine,FY2025Q2,10974.0
Wine,Argentina White Wine,Argentina White Wine,FY2025Q2,324104.0
Wine,Australia Wine Australia Fruit and Dessert Wine,Australia Wine Australia Fruit and Dessert Wine,FY2025Q2,192.0
Wine,Australia Red Wine,Australia Red Wine,FY2025Q2,5393024.0
Wine,Australia Rose Wine,Australia Rose Wine,FY2025Q2,230973.0
Wine,Australia Sparkling Wine,Australia Sparkling Wine,FY2025Q2,770180.0
Wine,Australia White Wine,Australia White Wine,FY2025Q2,3715642.0
Wine,Austria Wine Austria Fruit and Dessert Wine,Austria Wine Austria Fruit and Dessert Wine,FY2025Q2,2779.0
Wine,Austria Red Wine,Austria Red Wine,FY2025Q2,35434.0
Wine,Austria Rose Wine,Austria Rose Wine,FY2025Q2,9542.0
Wine,Austria Sparkling Wine,Austria Sparkling Wine,FY2025Q2,5270.0
Wine,Austria White Wine,Austria White Wine,FY2025Q2,116264.0
Wine,Bulgaria Wine Bulgaria Red Wine,Bulgaria Wine Bulgaria Red Wine,FY2025Q2,0.0
Wine,Bulgaria Rose Wine,Bulgaria Rose Wine,FY2025Q2,0.0
Wine,Bulgaria White Wine,Bulgaria White Wine,FY2025Q2,0.0
Wine,Canada,BC Canada - BC Dessert Wine,FY2025Q2,322881.0
Wine,Canada,BC Fruit Wine,FY2025Q2,1404221.0
Wine,Canada,BC Ice Wine,FY2025Q2,1118339.0
Wine,Canada,BC Red Wine,FY2025Q2,61088846.0
Wine,Canada,BC Rose Wine,FY2025Q2,13019887.0
Wine,Argentina Wine Argentina Red Wine,Argentina Wine Argentina Red Wine,FY2025Q3,8221868.0
Wine,Argentina Rose Wine,Argentina Rose Wine,FY2025Q3,39821.0
Wine,Argentina Sparkling Wine,Argentina Sparkling Wine,FY2025Q3,10256.0
