cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"44,761,473","36,098,602","48,513,711","46,493,101","40,513,763"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"4,433,613","4,366,030","5,593,670","5,967,269","5,148,504"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"8,700,198","7,621,576","10,083,736","10,455,127","8,962,577"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"3,086,776","2,991,908","5,125,645","5,305,496","2,816,351"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"27,223","26,580","40,086","39,901","27,022"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"766,143","670,790","722,172","697,069","572,090"
Beer,Import Beer,Asia And South Pacific Beer,"357,325","307,965","380,181","398,285","325,917"
Beer,Import Beer,Europe Beer,"6,041,110","5,261,211","6,432,244","6,489,258","5,896,387"
Beer,Import Beer,Mexico And Caribbean Beer,"1,719,690","1,436,040","2,757,104","2,951,334","1,462,288"
Beer,Import Beer,Other Country Beer,"9,929","10,563","13,473","12,767","10,671"
Beer,Import Beer,USA Beer,"2,736,908","2,530,638","3,389,012","3,667,090","2,554,501"
