cat_type,category,subcategory,period,litres
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2015/16 Q3,44761473
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2015/16 Q4,36098602
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q1,48513711
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q2,46493101
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q3,40513763
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2015/16 Q3,4433613
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2015/16 Q4,4366030
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q1,5593670
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q2,5967269
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q3,5148504
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2015/16 Q3,8700198
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2015/16 Q4,7621576
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q1,10083736
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q2,10455127
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q3,8962577
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2015/16 Q3,3086776
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2015/16 Q4,2991908
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q1,5125645
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q2,5305496
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q3,2816351
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2015/16 Q3,27223
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2015/16 Q4,26580
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q1,40086
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q2,39901
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q3,27022
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2015/16 Q3,766143
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2015/16 Q4,670790
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q1,722172
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q2,697069
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q3,572090
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2015/16 Q3,357325
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2015/16 Q4,307965
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q1,380181
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q2,398285
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q3,325917
Beer,Import Beer,Europe Beer,Fiscal 2015/16 Q3,6041110
Beer,Import Beer,Europe Beer,Fiscal 2015/16 Q4,5261211
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q1,6432244
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q2,6489258
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q3,5896387
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2015/16 Q3,1719690
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2015/16 Q4,1436040
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q1,2757104
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q2,2951334
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q3,1462288
Beer,Import Beer,Other Country Beer,Fiscal 2015/16 Q3,9929
Beer,Import Beer,Other Country Beer,Fiscal 2015/16 Q4,10563
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q1,13473
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q2,12767
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q3,10671
Beer,Import Beer,USA Beer,Fiscal 2015/16 Q3,2736908
Beer,Import Beer,USA Beer,Fiscal 2015/16 Q4,2530638
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q1,3389012
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q2,3667090
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q3,2554501
