cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,"$148,943,324","$121,198,006","$162,838,727","$156,398,710","$136,451,663"
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,"$19,862,814","$19,051,426","$24,632,419","$25,825,654","$23,385,365"
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,"$31,769,139","$27,158,723","$36,143,358","$37,470,156","$32,747,520"
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,"$11,332,123","$10,876,508","$18,457,940","$18,577,215","$10,309,886"
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,"$184,506","$186,476","$266,712","$260,430","$191,752"
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,"$2,619,411","$2,304,105","$2,560,056","$2,514,621","$2,204,870"
Beer,Import Beer,Asia And South Pacific Beer,"$1,685,655","$1,476,216","$1,816,808","$1,848,068","$1,546,081"
Beer,Import Beer,Europe Beer,"$27,019,451","$23,421,602","$28,612,736","$28,922,748","$26,394,815"
Beer,Import Beer,Mexico And Caribbean Beer,"$8,632,368","$7,443,022","$13,960,348","$15,022,698","$7,579,332"
Beer,Import Beer,Other Country Beer,"$42,022","$46,977","$58,474","$56,119","$48,495"
Beer,Import Beer,USA Beer,"$11,799,863","$10,446,299","$14,073,629","$14,999,044","$10,724,776"
