cat_type,category,subcategory,period,netsales
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2015/16 Q3,148943324
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2015/16 Q4,121198006
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q1,162838727
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q2,156398710
Beer,Domestic - BC Beer,Domestic - BC Commercial Beer,Fiscal 2016/17 Q3,136451663
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2015/16 Q3,19862814
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2015/16 Q4,19051426
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q1,24632419
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q2,25825654
Beer,Domestic - BC Beer,Domestic - BC Micro Brew Beer,Fiscal 2016/17 Q3,23385365
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2015/16 Q3,31769139
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2015/16 Q4,27158723
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q1,36143358
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q2,37470156
Beer,Domestic - BC Beer,Domestic - BC Regional Beer,Fiscal 2016/17 Q3,32747520
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2015/16 Q3,11332123
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2015/16 Q4,10876508
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q1,18457940
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q2,18577215
Beer,Domestic - Other Province Beer,Domestic - Other Province Commercial Beer,Fiscal 2016/17 Q3,10309886
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2015/16 Q3,184506
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2015/16 Q4,186476
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q1,266712
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q2,260430
Beer,Domestic - Other Province Beer,Domestic - Other Province Micro Brew Beer,Fiscal 2016/17 Q3,191752
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2015/16 Q3,2619411
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2015/16 Q4,2304105
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q1,2560056
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q2,2514621
Beer,Domestic - Other Province Beer,Domestic - Other Province Regional Beer,Fiscal 2016/17 Q3,2204870
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2015/16 Q3,1685655
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2015/16 Q4,1476216
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q1,1816808
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q2,1848068
Beer,Import Beer,Asia And South Pacific Beer,Fiscal 2016/17 Q3,1546081
Beer,Import Beer,Europe Beer,Fiscal 2015/16 Q3,27019451
Beer,Import Beer,Europe Beer,Fiscal 2015/16 Q4,23421602
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q1,28612736
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q2,28922748
Beer,Import Beer,Europe Beer,Fiscal 2016/17 Q3,26394815
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2015/16 Q3,8632368
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2015/16 Q4,7443022
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q1,13960348
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q2,15022698
Beer,Import Beer,Mexico And Caribbean Beer,Fiscal 2016/17 Q3,7579332
Beer,Import Beer,Other Country Beer,Fiscal 2015/16 Q3,42022
Beer,Import Beer,Other Country Beer,Fiscal 2015/16 Q4,46977
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q1,58474
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q2,56119
Beer,Import Beer,Other Country Beer,Fiscal 2016/17 Q3,48495
Beer,Import Beer,USA Beer,Fiscal 2015/16 Q3,11799863
Beer,Import Beer,USA Beer,Fiscal 2015/16 Q4,10446299
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q1,14073629
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q2,14999044
Beer,Import Beer,USA Beer,Fiscal 2016/17 Q3,10724776
