cat_type,category,subcategory,period,litres
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2015/16 Q3,3016727
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2015/16 Q4,2630509
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q1,4480061
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q2,4526195
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q3,2975774
Refreshment Beverages,Cider,Import Cider,Fiscal 2015/16 Q3,861647
Refreshment Beverages,Cider,Import Cider,Fiscal 2015/16 Q4,784248
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q1,1348943
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q2,1379408
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q3,839182
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2015/16 Q3,519951
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2015/16 Q4,461221
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q1,1231197
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q2,1385812
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q3,475224
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2015/16 Q3,3118164
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2015/16 Q4,2645067
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q1,6751294
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q2,6916263
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q3,3300645
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2015/16 Q3,158989
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2015/16 Q4,131519
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q1,189648
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q2,182730
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q3,124375
