cat_type,category,subcategory,period,netsales
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2015/16 Q3,11530019
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2015/16 Q4,10131009
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q1,17073824
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q2,17268158
Refreshment Beverages,Cider,Domestic Cider,Fiscal 2016/17 Q3,11067119
Refreshment Beverages,Cider,Import Cider,Fiscal 2015/16 Q3,4016979
Refreshment Beverages,Cider,Import Cider,Fiscal 2015/16 Q4,3670430
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q1,6202938
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q2,6375166
Refreshment Beverages,Cider,Import Cider,Fiscal 2016/17 Q3,3962606
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2015/16 Q3,2329606
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2015/16 Q4,2056565
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q1,5217757
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q2,5997194
Refreshment Beverages,Coolers,Malt-Based Coolers,Fiscal 2016/17 Q3,2123073
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2015/16 Q3,13682975
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2015/16 Q4,11698479
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q1,27996942
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q2,29313162
Refreshment Beverages,Coolers,Spirit Coolers,Fiscal 2016/17 Q3,14585433
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2015/16 Q3,777734
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2015/16 Q4,631556
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q1,978597
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q2,967848
Refreshment Beverages,Coolers,Wine/Fruit Coolers,Fiscal 2016/17 Q3,652864
