cat_type,category,subcategory,period,litres
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2015/16 Q3,6891
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2015/16 Q4,4115
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2016/17 Q1,4576
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2016/17 Q2,4585
Spirits,Other Spirits,Moonshine Spirits,Fiscal 2016/17 Q3,5630
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2015/16 Q3,28033
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2015/16 Q4,26153
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2016/17 Q1,35233
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2016/17 Q2,36622
Spirits,Other Spirits,Ready to Mix Cocktails,Fiscal 2016/17 Q3,25995
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2015/16 Q3,14609
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2015/16 Q4,11758
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2016/17 Q1,26088
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2016/17 Q2,33660
Spirits,Other Spirits,Ready to Serve Cocktails,Fiscal 2016/17 Q3,26903
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2015/16 Q3,3108
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2015/16 Q4,1623
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2016/17 Q1,1839
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2016/17 Q2,2469
Spirits,Other Spirits,Schnapps and Akvavit,Fiscal 2016/17 Q3,3228
Spirits,Rum,Amber Rum,Fiscal 2015/16 Q3,315494
Spirits,Rum,Amber Rum,Fiscal 2015/16 Q4,161908
Spirits,Rum,Amber Rum,Fiscal 2016/17 Q1,205720
Spirits,Rum,Amber Rum,Fiscal 2016/17 Q2,218647
Spirits,Rum,Amber Rum,Fiscal 2016/17 Q3,302572
