cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Spirits,Other Spirits,Moonshine Spirits,"$235,166","$130,731","$145,670","$157,337","$218,836"
Spirits,Other Spirits,Ready to Mix Cocktails,"$556,356","$516,208","$695,285","$720,675","$517,344"
Spirits,Other Spirits,Ready to Serve Cocktails,"$482,163","$339,078","$567,707","$780,833","$800,179"
Spirits,Other Spirits,Schnapps and Akvavit,"$118,716","$60,085","$68,686","$95,172","$126,908"
Spirits,Rum,Amber Rum,"$8,234,116","$4,296,969","$5,483,571","$5,806,009","$7,861,000"
Spirits,Rum,Dark Rum,"$4,292,372","$2,527,308","$2,652,896","$2,799,967","$4,258,234"
Spirits,Rum,Flavoured Rum,"$206,954","$168,901","$408,285","$516,561","$284,601"
Spirits,Rum,Spiced Rum,"$12,412,594","$5,737,288","$7,415,859","$7,919,973","$12,645,574"
Spirits,Rum,White Rum,"$9,398,007","$6,075,708","$8,026,962","$8,210,311","$9,018,543"
Spirits,Tequila,Blanco/Silver Tequila,"$1,867,893","$1,507,352","$2,438,246","$2,542,249","$2,156,938"
Spirits,Tequila,Flavoured Tequila,"$160,767","$132,294","$197,884","$208,137","$193,616"
Spirits,Tequila,Gold Tequila,"$4,508,827","$3,564,290","$5,314,832","$5,597,179","$4,630,609"
Spirits,Tequila,Mezcal,"$73,055","$77,566","$147,826","$110,682","$124,961"
Spirits,Vodka,Flavoured Vodka,"$3,608,460","$2,662,667","$3,399,281","$3,558,662","$3,648,812"
Spirits,Vodka,Straight Vodka,"$54,884,905","$40,390,778","$50,825,874","$52,516,118","$53,908,154"
Spirits,Whisky,American Whiskey,"$3,016,063","$1,995,465","$2,354,714","$2,460,703","$3,127,577"
Spirits,Whisky,Blended Malt Scotch Whisky,"$124,056","$71,808","$76,779","$60,601","$170,405"
Spirits,Whisky,Blended Scotch Whisky,"$9,284,541","$6,342,897","$7,458,266","$7,088,450","$8,713,409"
Spirits,Whisky,Bourbon Whiskey,"$3,372,322","$2,816,790","$2,767,776","$2,824,776","$3,881,396"
Spirits,Whisky,Canadian Whisky,"$34,234,764","$22,710,545","$25,159,213","$28,638,879","$34,355,466"
Spirits,Whisky,Flavoured Whisky,"$53,451","$55,573","$18,575","$37,533","$68,635"
Spirits,Whisky,Irish Whiskey,"$3,504,687","$2,729,418","$2,155,405","$2,454,957","$4,274,332"
Spirits,Whisky,Other Country Whisky,"$833,107","$430,295","$442,332","$534,829","$954,911"
Spirits,Whisky,Single Malt Scotch Whisky,"$14,892,974","$7,429,628","$8,210,736","$7,529,757","$14,965,868"
