cat_type,category,subcategory,Fiscal 2015/16 Q3,Fiscal 2015/16 Q4,Fiscal 2016/17 Q1,Fiscal 2016/17 Q2,Fiscal 2016/17 Q3
Wine,Sake,Other Country Sake,"3,338","2,558","3,046","3,229","3,138"
Wine,Sake,USA Sake,"91,343","88,921","77,599","78,890","92,174"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,0,0,0,0,0
Wine,South Africa Wine,South Africa Red Wine,"154,747","118,398","115,736","125,054","157,690"
Wine,South Africa Wine,South Africa Rose Wine,54,36,"2,386",36,18
Wine,South Africa Wine,South Africa Sparkling Wine,"8,087","6,259","3,256","6,557","5,727"
Wine,South Africa Wine,South Africa White Wine,"87,874","79,286","124,402","111,524","96,928"
Wine,Spain Wine,Spain Fruit and Dessert Wine,0,0,0,0,0
Wine,Spain Wine,Spain Red Wine,"492,432","405,508","300,601","344,427","435,399"
Wine,Spain Wine,Spain Rose Wine,"2,160","1,708","13,292","12,464","4,958"
Wine,Spain Wine,Spain Sparkling Wine,"129,253","53,450","63,701","65,324","136,854"
Wine,Spain Wine,Spain White Wine,"50,061","66,300","22,516","32,653","34,487"
Wine,USA Wine,USA Fruit and Dessert Wine,202,68,754,451,225
Wine,USA Wine,USA Red Wine,"1,708,782","1,202,721","1,102,858","1,133,269","1,613,993"
Wine,USA Wine,USA Rose Wine,"137,351","122,956","138,332","130,124","125,333"
Wine,USA Wine,USA Sparkling Wine,"42,099","22,684","24,625","26,371","41,212"
Wine,USA Wine,USA White Wine,"610,002","497,869","544,250","550,162","549,740"
