cat_type,category,subcategory,period,litres
Wine,Sake,Other Country Sake,Fiscal 2015/16 Q3,3338
Wine,Sake,Other Country Sake,Fiscal 2015/16 Q4,2558
Wine,Sake,Other Country Sake,Fiscal 2016/17 Q1,3046
Wine,Sake,Other Country Sake,Fiscal 2016/17 Q2,3229
Wine,Sake,Other Country Sake,Fiscal 2016/17 Q3,3138
Wine,Sake,USA Sake,Fiscal 2015/16 Q3,91343
Wine,Sake,USA Sake,Fiscal 2015/16 Q4,88921
Wine,Sake,USA Sake,Fiscal 2016/17 Q1,77599
Wine,Sake,USA Sake,Fiscal 2016/17 Q2,78890
Wine,Sake,USA Sake,Fiscal 2016/17 Q3,92174
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2015/16 Q3,0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2015/16 Q4,0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2016/17 Q1,0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2016/17 Q2,0
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,Fiscal 2016/17 Q3,0
Wine,South Africa Wine,South Africa Red Wine,Fiscal 2015/16 Q3,154747
Wine,South Africa Wine,South Africa Red Wine,Fiscal 2015/16 Q4,118398
Wine,South Africa Wine,South Africa Red Wine,Fiscal 2016/17 Q1,115736
Wine,South Africa Wine,South Africa Red Wine,Fiscal 2016/17 Q2,125054
Wine,South Africa Wine,South Africa Red Wine,Fiscal 2016/17 Q3,157690
Wine,South Africa Wine,South Africa Rose Wine,Fiscal 2015/16 Q3,54
Wine,South Africa Wine,South Africa Rose Wine,Fiscal 2015/16 Q4,36
Wine,South Africa Wine,South Africa Rose Wine,Fiscal 2016/17 Q1,2386
Wine,South Africa Wine,South Africa Rose Wine,Fiscal 2016/17 Q2,36
Wine,South Africa Wine,South Africa Rose Wine,Fiscal 2016/17 Q3,18
Wine,South Africa Wine,South Africa Sparkling Wine,Fiscal 2015/16 Q3,8087
Wine,South Africa Wine,South Africa Sparkling Wine,Fiscal 2015/16 Q4,6259
Wine,South Africa Wine,South Africa Sparkling Wine,Fiscal 2016/17 Q1,3256
Wine,South Africa Wine,South Africa Sparkling Wine,Fiscal 2016/17 Q2,6557
Wine,South Africa Wine,South Africa Sparkling Wine,Fiscal 2016/17 Q3,5727
Wine,South Africa Wine,South Africa White Wine,Fiscal 2015/16 Q3,87874
Wine,South Africa Wine,South Africa White Wine,Fiscal 2015/16 Q4,79286
Wine,South Africa Wine,South Africa White Wine,Fiscal 2016/17 Q1,124402
Wine,South Africa Wine,South Africa White Wine,Fiscal 2016/17 Q2,111524
Wine,South Africa Wine,South Africa White Wine,Fiscal 2016/17 Q3,96928
Wine,Spain Wine,Spain Fruit and Dessert Wine,Fiscal 2015/16 Q3,0
Wine,Spain Wine,Spain Fruit and Dessert Wine,Fiscal 2015/16 Q4,0
Wine,Spain Wine,Spain Fruit and Dessert Wine,Fiscal 2016/17 Q1,0
Wine,Spain Wine,Spain Fruit and Dessert Wine,Fiscal 2016/17 Q2,0
Wine,Spain Wine,Spain Fruit and Dessert Wine,Fiscal 2016/17 Q3,0
Wine,Spain Wine,Spain Red Wine,Fiscal 2015/16 Q3,492432
Wine,Spain Wine,Spain Red Wine,Fiscal 2015/16 Q4,405508
Wine,Spain Wine,Spain Red Wine,Fiscal 2016/17 Q1,300601
Wine,Spain Wine,Spain Red Wine,Fiscal 2016/17 Q2,344427
Wine,Spain Wine,Spain Red Wine,Fiscal 2016/17 Q3,435399
Wine,Spain Wine,Spain Rose Wine,Fiscal 2015/16 Q3,2160
Wine,Spain Wine,Spain Rose Wine,Fiscal 2015/16 Q4,1708
Wine,Spain Wine,Spain Rose Wine,Fiscal 2016/17 Q1,13292
Wine,Spain Wine,Spain Rose Wine,Fiscal 2016/17 Q2,12464
Wine,Spain Wine,Spain Rose Wine,Fiscal 2016/17 Q3,4958
Wine,Spain Wine,Spain Sparkling Wine,Fiscal 2015/16 Q3,129253
Wine,Spain Wine,Spain Sparkling Wine,Fiscal 2015/16 Q4,53450
Wine,Spain Wine,Spain Sparkling Wine,Fiscal 2016/17 Q1,63701
Wine,Spain Wine,Spain Sparkling Wine,Fiscal 2016/17 Q2,65324
Wine,Spain Wine,Spain Sparkling Wine,Fiscal 2016/17 Q3,136854
Wine,Spain Wine,Spain White Wine,Fiscal 2015/16 Q3,50061
Wine,Spain Wine,Spain White Wine,Fiscal 2015/16 Q4,66300
Wine,Spain Wine,Spain White Wine,Fiscal 2016/17 Q1,22516
Wine,Spain Wine,Spain White Wine,Fiscal 2016/17 Q2,32653
Wine,Spain Wine,Spain White Wine,Fiscal 2016/17 Q3,34487
Wine,USA Wine,USA Fruit and Dessert Wine,Fiscal 2015/16 Q3,202
Wine,USA Wine,USA Fruit and Dessert Wine,Fiscal 2015/16 Q4,68
Wine,USA Wine,USA Fruit and Dessert Wine,Fiscal 2016/17 Q1,754
